beian_hao,fof99_fund_name,fof99_short_name,fof99_advisor,fof99_price_date,fof99_price_nav,fof99_strategy_one,fof99_strategy_two,is_share_class,src_missing_reason,in_private_fund_info,in_amac,amac_fund_name,amac_working_state,amac_manager,has_db_nav,nav_rows,nav_min_date,nav_max_date,info_latest_nav_date,info_latest_nav,in_fof99_universe,fof99_policy,fof99_reason,universe_listed_at,last_fetch_date,last_fetch_status,last_ok_date,empty_date_probe
SAAS19,龙旗X计划13号6期私募证券投资基金,龙旗X计划13号6期,杭州龙旗科技,2026-08-14,1.0251,股票对冲,,no,in_table_null_latest_nav_date,yes,yes,龙旗X计划13号6期私募证券投资基金,正在运作,杭州龙旗科技有限公司,no,0,,,,,no,,,,,,,
SADQ81,龙旗X计划13号3期私募证券投资基金,龙旗X计划13号3期,杭州龙旗科技,2026-08-14,0.9393,股票对冲,,no,in_table_null_latest_nav_date,yes,yes,龙旗X计划13号3期私募证券投资基金,正在运作,杭州龙旗科技有限公司,no,0,,,,,no,,,,,,,
SADS01,龙旗X计划13号2期私募证券投资基金,龙旗X计划13号2期,杭州龙旗科技,2026-08-14,0.9394,股票对冲,,no,in_table_null_latest_nav_date,yes,yes,龙旗X计划13号2期私募证券投资基金,正在运作,杭州龙旗科技有限公司,no,0,,,,,no,,,,,,,
SADS65,龙旗X计划13号1期私募证券投资基金,龙旗X计划13号1期,杭州龙旗科技,2026-08-14,0.9394,股票对冲,,no,in_table_null_latest_nav_date,yes,yes,龙旗X计划13号1期私募证券投资基金,正在运作,杭州龙旗科技有限公司,no,0,,,,,no,,,,,,,
SADT11,龙旗X计划13号4期私募证券投资基金,龙旗X计划13号4期,杭州龙旗科技,2026-08-14,0.8923,股票对冲,,no,in_table_null_latest_nav_date,yes,yes,龙旗X计划13号4期私募证券投资基金,正在运作,杭州龙旗科技有限公司,no,0,,,,,no,,,,,,,
SAHN71,孝庸中证1000指增双驱招享一号1期私募证券投资基金,孝庸中证1000指增双驱招享一号1期,上海孝庸,2026-08-14,0.9662,股票多头,1000指增,no,in_table_null_latest_nav_date,yes,yes,孝庸中证1000指增双驱招享一号1期私募证券投资基金,正在运作,上海孝庸私募基金管理有限公司,no,0,,,,,no,,,,,,,
SALF72,国富联合取道一号私募证券投资基金,国富联合取道一号,青岛国富联合,2026-08-14,0.8178,股票多头,量化选股,no,in_table_null_latest_nav_date,yes,yes,国富联合取道一号私募证券投资基金,正在运作,国富联合（青岛）私募基金管理有限公司,no,0,,,,,no,,,,,,,
SALR28,世纪前沿量化优选22号三期私募证券投资基金,世纪前沿量化优选22号三期,海南世纪前沿,2026-08-14,1.0258,股票对冲,,no,in_table_null_latest_nav_date,yes,yes,世纪前沿量化优选22号三期私募证券投资基金,正在运作,海南世纪前沿私募基金管理有限公司,no,0,,,,,no,,,,,,,
SALU24,世纪前沿中证全指指数增强6号二期私募证券投资基金,世纪前沿中证全指指数增强6号二期,海南世纪前沿,2026-08-14,1.0517,股票多头,量化选股,no,in_table_null_latest_nav_date,yes,yes,世纪前沿中证全指指数增强6号二期私募证券投资基金,正在运作,海南世纪前沿私募基金管理有限公司,no,0,,,,,no,,,,,,,
SALU56,世纪前沿中证全指指数增强6号一期私募证券投资基金,世纪前沿中证全指指数增强6号一期,海南世纪前沿,2026-08-14,0.9987,股票多头,量化选股,no,in_table_null_latest_nav_date,yes,yes,世纪前沿中证全指指数增强6号一期私募证券投资基金,正在运作,海南世纪前沿私募基金管理有限公司,no,0,,,,,no,,,,,,,
SANJ38,启辰之星鲲鹏之势私募证券投资基金,启辰之星鲲鹏之势,武汉启辰之星,2026-08-14,1.2698,股票多头,,no,in_table_null_latest_nav_date,yes,yes,启辰之星鲲鹏之势私募证券投资基金,正在运作,武汉启辰之星私募基金管理合伙企业（有限合伙）,no,0,,,,,no,,,,,,,
SAQV81,远信新兴成长私募证券投资基金,远信新兴成长,珠海远信,2026-08-14,2.6257,股票多头,,no,in_table_null_latest_nav_date,yes,yes,远信新兴成长私募证券投资基金,正在运作,远信（珠海）私募基金管理有限公司,no,0,,,,,no,,,,,,,
SARY26,龙旗X计划13号5期私募证券投资基金,龙旗X计划13号5期,杭州龙旗科技,2026-08-14,1.025,股票对冲,,no,in_table_null_latest_nav_date,yes,yes,龙旗X计划13号5期私募证券投资基金,正在运作,杭州龙旗科技有限公司,no,0,,,,,no,,,,,,,
SATU14,福珍新征程1号港股通多元策略私募证券投资基金,福珍新征程1号港股通多元策略,上海福珍资管,2026-08-14,0.7146,多资产策略,复合策略,no,in_table_null_latest_nav_date,yes,yes,福珍新征程1号港股通多元策略私募证券投资基金,正在运作,上海福珍资产管理有限公司,no,0,,,,,no,,,,,,,
