beian_hao,product_name,strategy_l1,strategy_l2,manager,inception_date,ret_1w,ret_1m,ret_3m,ret_6m,ret_1y,sharpe_1y,calmar_1y,perf_filled_count,source_files,in_database,in_private_fund_info,in_private_fund_info_bfl,has_nav,db_product_name,db_latest_nav,db_latest_nav_date,vendor_nav_points,vendor_latest_nav_date,email_type6_nav_points,email_group_nav_points,email_hy_nav_points,in_fof99_universe,fof99_tracking_status,fof99_policy,fof99_reason,fof99_last_ok_date,fof99_last_log_status,in_team_track
ACA69A,兰盈金期2号A类,期货策略,量化期货,上海兰盈量投,2024-04-15,-2.96%,-2.70%,-5.54%,-6.12%,,,,4,私募基金.xlsx,Y,Y,N,Y,兰盈金期2号A类,1.029000,2026-09-04,46,2026-09-04,113,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-31 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
ACJ77A,嘉和传承精研倍赢一期A类,套利策略,期货套利,上海嘉和传承,2023-11-14,+2.52%,+0.75%,+4.11%,+11.01%,+25.19%,1.2334,1.8678,7,私募基金 (1).xlsx,Y,Y,Y,Y,嘉和传承精研倍赢一期A类,1.341000,2026-09-04,153,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,Y
ACQ53A,启星权胜A类,期权策略,场内期权,北京启星,2023-11-24,-0.03%,+1.64%,+1.72%,+3.02%,+11.43%,3.3885,12.8861,7,私募基金 (2).xlsx,Y,Y,N,Y,启星权胜A类,1.219500,2026-09-04,152,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
ACQ53B,启星权胜B类,期权策略,场内期权,北京启星,2023-11-24,-0.04%,+1.55%,+1.45%,+2.49%,+10.30%,2.9786,10.4559,7,私募基金 (2).xlsx,Y,Y,N,Y,启星权胜B类,1.116800,2026-09-04,154,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
ACS06A,敦和芝诺多资产量化1号A类,多资产策略,宏观策略,敦和资管,2023-11-10,-0.90%,+0.22%,-0.35%,-5.24%,+0.37%,-0.2167,0.0532,7,私募基金 (3).xlsx,Y,Y,N,Y,敦和芝诺多资产量化1号A类,0.957500,2026-09-04,89,2026-09-04,21,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
ACV09A,懿德财富远见成长A类,多资产策略,宏观策略,深圳懿德财富投资,2023-11-10,+0.26%,+0.67%,+1.69%,-4.93%,-0.13%,-0.1850,-0.0072,7,私募基金 (3).xlsx,Y,Y,N,Y,懿德财富远见成长A类,1.568700,2026-09-04,156,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
ACV09B,懿德财富远见成长B类,多资产策略,宏观策略,深圳懿德财富投资,2023-11-10,+0.23%,+0.52%,+1.29%,-5.66%,-1.64%,-0.3153,-0.0898,7,私募基金 (3).xlsx,Y,Y,N,Y,懿德财富远见成长B类,1.532500,2026-09-04,85,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
ACY46A,浅行多策略对冲2号A类,多资产策略,复合策略,海南浅行,2023-11-08,+0.14%,+0.01%,-1.03%,+0.87%,+27.84%,2.3366,5.0452,7,私募基金 (3).xlsx,Y,Y,N,Y,浅行多策略对冲2号A类,1.180100,2026-09-04,69,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
ADA23A,元葵天时5号A类,多资产策略,宏观策略,浙江元葵资管,2024-01-31,-0.69%,+3.45%,-5.77%,+4.05%,+14.85%,0.6486,1.0961,7,私募基金 (3).xlsx,Y,Y,N,Y,元葵天时5号A类,1.401800,2026-09-04,141,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
ADE96A,洛书全天候增强一期A类,多资产策略,宏观策略,上海洛书投资,2023-12-15,+1.38%,+3.65%,+1.15%,-0.32%,+12.06%,1.1131,1.7349,7,私募基金 (3).xlsx,Y,Y,N,Y,洛书全天候增强一期A类,1.464500,2026-09-04,109,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
