beian_hao,product_name,strategy_l1,strategy_l2,manager,inception_date,ret_1w,ret_1m,ret_3m,ret_6m,ret_1y,sharpe_1y,calmar_1y,perf_filled_count,source_files,in_database,in_private_fund_info,in_private_fund_info_bfl,has_nav,db_product_name,db_latest_nav,db_latest_nav_date,vendor_nav_points,vendor_latest_nav_date,email_type6_nav_points,email_group_nav_points,email_hy_nav_points,in_fof99_universe,fof99_tracking_status,fof99_policy,fof99_reason,fof99_last_ok_date,fof99_last_log_status,in_team_track
SNS133,睦沣五号,期货策略,量化期货,上海睦沣投资,2021-02-10,+1.96%,+6.68%,+5.44%,-3.29%,-4.24%,-0.3968,-0.2891,7,私募基金.xlsx,Y,Y,N,Y,睦沣五号,1.009000,2026-09-10,1292,2026-09-10,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-09-03 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-10,ok,N
SNS326,半夏平衡宏观对冲,多资产策略,宏观策略,上海半夏投资,2021-01-25,-6.40%,-2.75%,-12.72%,-24.19%,-15.97%,-0.7189,-0.5135,7,私募基金 (3).xlsx,Y,Y,N,Y,半夏平衡宏观对冲,1.448900,2026-09-04,315,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
SNS348,旌安8号,期货策略,主观期货,浙江旌安,2021-02-26,-0.91%,-1.45%,-1.06%,+1.24%,+11.45%,1.3056,2.6115,7,私募基金.xlsx,Y,Y,Y,Y,旌安8号,1.012400,2026-09-04,840,2026-09-04,0,1276,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-31 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,Y
SNS371,洮利11号1期,套利策略,期货套利,上海洮利,2021-01-15,-10.13%,-12.67%,-29.26%,-30.09%,-11.65%,-0.2649,-0.3141,7,私募基金 (1).xlsx,Y,Y,N,Y,洮利11号1期,0.814000,2026-09-08,1306,2026-09-08,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-09-02 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-08,ok,N
SNS466,佑维CTA进取六号,期货策略,量化期货,北京佑维投资,2021-02-02,,+3.51%,+16.94%,+23.30%,+15.39%,0.6038,0.8821,6,私募基金.xlsx,Y,Y,N,Y,佑维CTA进取六号,1.492100,2026-09-04,307,2026-09-04,946,0,0,Y,weekly,weekly,1-3m job now within 1 month; weekly Friday FundMultiPrice,2026-09-04,ok,N
SNS807,珏朔朴道量化CTA稳健二号,期货策略,量化期货,上海珏朔资产,2023-04-13,+0.64%,-3.84%,+0.91%,-1.65%,+8.98%,0.5433,1.4932,7,私募基金.xlsx,Y,Y,N,Y,珏朔朴道量化CTA稳健二号,1.055300,2026-09-04,186,2026-09-04,761,0,0,Y,weekly,weekly,1-3m job now within 1 month; weekly Friday FundMultiPrice,2026-09-04,ok,N
SNS917,融世资产金鑫1号,期货策略,主观期货,上海融世,2021-02-08,+0.17%,+1.26%,+2.29%,+6.32%,+11.84%,6.6623,50.7830,7,私募基金.xlsx,Y,Y,N,Y,融世资产金鑫1号,1.159900,2026-09-09,1221,2026-09-09,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-24 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-09,ok,N
SNT400,致畅松岩二号,期货策略,量化期货,上海致畅投资,2021-02-01,+1.84%,-0.05%,+0.44%,+3.69%,-0.22%,-0.1609,-0.0193,7,私募基金.xlsx,Y,Y,N,Y,致畅松岩二号,1.825000,2026-09-04,328,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
SNT522,鼎世精选,多资产策略,复合策略,嘉兴鼎世永聚投资,2021-05-24,-11.54%,+5.54%,-41.53%,-6.52%,+36.07%,0.4400,0.6058,7,私募基金 (3).xlsx,Y,Y,N,N,鼎世精选私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,,N
SNT556,五矿鑫扬鑫成1号,组合策略,FOF,浙江五矿鑫扬投资,2021-01-25,+0.05%,+0.05%,+0.21%,-0.60%,+23.58%,1.5996,3.1237,7,私募基金 (4).xlsx,Y,Y,N,Y,五矿鑫扬鑫成1号,1.234700,2026-09-09,319,2026-09-09,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-09-02 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-09,ok,N
SNT762,凯丰岁丰1号基本面量化CTA,期货策略,量化期货,深圳凯丰投资,2021-02-09,+1.00%,+0.31%,+2.30%,+8.97%,+12.33%,1.8755,4.7992,7,私募基金.xlsx,Y,Y,Y,Y,凯丰岁丰1号基本面量化CTA,1.460700,2026-09-04,306,2026-09-04,0,929,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,Y
SNU008,同心源千里之行CTA一号,期货策略,量化期货,北京同心源,2021-02-04,+0.41%,+2.93%,+2.75%,+1.05%,+10.47%,0.8505,1.6156,7,私募基金.xlsx,Y,Y,N,N,同心源千里之行CTA一号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,,N
SNV217,中安汇富莲花山金选1号,多资产策略,宏观策略,深圳中安汇富,2021-02-24,-1.87%,+9.18%,+5.20%,+10.03%,+46.92%,1.1655,1.9775,7,私募基金 (3).xlsx,Y,Y,N,Y,中安汇富莲花山金选1号,2.701200,2026-09-04,283,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-09-02 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
SNW356,七禾兰瑞5号,期货策略,主观期货,杭州七禾新资管,2021-03-03,-1.19%,+32.53%,+4.22%,+12.44%,+61.03%,1.5261,2.5470,7,私募基金.xlsx,Y,Y,N,Y,七禾兰瑞5号,3.037800,2026-09-04,626,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
SNW762,银瓴运通稳健1号五期,套利策略,期货套利,广西银瓴资产,2021-05-13,+1.04%,+1.82%,+5.28%,+0.57%,+2.52%,0.0616,0.3593,7,私募基金 (1).xlsx,Y,Y,N,Y,银瓴运通稳健1号五期,1.492000,2026-09-04,287,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-31 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
SNW839,博普CTA股票全市场一号,多资产策略,复合策略,深圳前海博普资管,2021-02-19,+7.87%,+11.21%,+8.17%,-1.03%,-12.53%,-0.6094,-0.5356,7,私募基金 (3).xlsx,Y,Y,N,Y,博普CTA股票全市场一号,1.243600,2026-09-04,310,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
SNX234,灵涛长江1号,期权策略,场内期权,灵涛基金,2021-02-10,-0.12%,+0.65%,+0.98%,+2.39%,+3.73%,1.0168,5.1246,7,私募基金 (2).xlsx,Y,Y,N,Y,灵涛长江1号,1.458500,2026-09-04,942,2026-09-04,109,0,0,Y,weekly,weekly,1-3m job now within 1 month; weekly Friday FundMultiPrice,2026-09-04,ok,N
SNX448,泓倍套利3号,期权策略,场内期权,上海泓倍投资,2021-04-08,-2.91%,-1.72%,-0.37%,-0.14%,+3.36%,0.1160,0.7020,7,私募基金 (2).xlsx,Y,Y,N,Y,泓倍套利3号,1.250600,2026-09-04,303,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-31 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
SNX530,毓颜商品指数增强1号,期货策略,量化期货,杭州毓颜投资,2021-02-04,+1.74%,+6.29%,+5.50%,+11.02%,+46.76%,1.6886,2.4638,7,私募基金.xlsx,Y,Y,N,Y,毓颜商品指数增强1号,2.382000,2026-09-11,120,2026-09-04,0,0,0,Y,weekly_plus,weekly_plus,1m blank-policy: email usually has the week; weekly_plus Friday FundMultiPrice only if list_nav_date is behind,2026-09-04,ok,N
SNX805,亿佳信精进5号,期货策略,量化期货,珠海亿佳信资管,2021-02-10,+1.28%,+2.88%,+10.48%,+8.96%,+10.70%,0.5334,1.4214,7,私募基金.xlsx,Y,Y,Y,Y,亿佳信精进5号,1.107000,2026-09-04,345,2026-09-04,0,246,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,Y
SNX811,新方程量化套利FOF组合,组合策略,FOF,上海新方程,2021-02-26,0.00%,+2.87%,-1.30%,-0.85%,+1.42%,-0.1207,0.2669,7,私募基金 (4).xlsx,Y,Y,N,Y,新方程量化套利FOF组合,1.289000,2026-09-04,394,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-31 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
SNX825,紫杰高峰全天候一号,组合策略,FOF,上海紫杰,2021-02-22,-1.12%,+12.89%,-7.28%,-19.37%,-3.46%,-0.2175,-0.1107,7,私募基金 (4).xlsx,Y,Y,N,Y,紫杰高峰全天候一号,1.351400,2026-09-04,153,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-31 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
SNX908,凯丰宏观策略玖昇1号,多资产策略,宏观策略,昌都市凯丰投资,2021-03-24,+1.68%,+7.15%,-9.77%,-14.34%,+15.64%,0.4899,0.6278,7,私募基金 (3).xlsx,Y,Y,N,Y,凯丰宏观策略玖昇1号,1.127400,2026-09-04,307,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
SNX974,维引四明ESG多策略,多资产策略,宏观策略,杭州维引资管,2021-03-05,+1.30%,+0.73%,-0.98%,-7.20%,,,,4,私募基金 (3).xlsx,Y,Y,N,Y,维引四明ESG多策略,1.200600,2026-09-04,283,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
SNY226,元葵天时成长8号,多资产策略,宏观策略,浙江元葵资管,2021-10-21,-0.49%,+3.85%,-6.40%,+3.94%,+14.85%,0.6017,1.0349,7,私募基金 (3).xlsx,Y,Y,N,Y,元葵天时成长8号,1.214000,2026-09-04,262,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-31 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
SNZ000,蒙特卡罗可转债1号,多资产策略,复合策略,西安蒙特卡罗基金,2021-02-09,-1.03%,+2.03%,+3.46%,+8.66%,+19.30%,1.6414,2.9607,7,私募基金 (3).xlsx,Y,Y,N,N,蒙特卡罗可转债1号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,,N
SNZ587,燊叠五谷丰登,期货策略,量化期货,燊叠资本,2021-03-08,+0.26%,+2.34%,+4.91%,-7.19%,-29.33%,-2.2510,-0.8865,7,私募基金.xlsx,Y,Y,N,Y,燊叠五谷丰登,1.923000,2026-09-04,305,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
SP138A,嘉发期权巅峰成长一期A类,期权策略,场内期权,深圳嘉发资管,2021-09-22,-0.07%,+1.98%,+3.61%,,,,,3,私募基金 (2).xlsx,Y,Y,N,Y,嘉发期权巅峰成长一期A类,1.497000,2026-09-10,23,2026-09-10,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-09-03 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-10,ok,N
SP138B,嘉发期权巅峰成长一期B类,期权策略,场内期权,深圳嘉发资管,2021-09-22,-0.07%,+1.86%,+3.28%,-0.94%,,,,4,私募基金 (2).xlsx,Y,Y,N,Y,嘉发期权巅峰成长一期B类,1.482000,2026-09-10,23,2026-09-10,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-09-03 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-10,ok,N
SQ072B,勤远·正红B类,组合策略,FOF,上海勤远,2021-09-23,+1.45%,+14.93%,-12.74%,-10.07%,+2.76%,0.0272,0.0962,7,私募基金 (4).xlsx,Y,Y,N,Y,勤远·正红B类,1.116000,2026-09-04,277,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
SQ082C,维引九华宏观对冲C类,多资产策略,宏观策略,杭州维引资管,2021-09-07,+0.16%,+2.50%,-2.16%,-5.46%,-3.77%,-0.2926,-0.2352,7,私募基金 (3).xlsx,Y,Y,N,Y,维引九华宏观对冲C类,1.391000,2026-09-04,131,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
SQA043,星恒哲萌1号,期货策略,主观期货,杭州哲萌投资,2021-04-14,-0.04%,-0.03%,-0.66%,-1.93%,+2.55%,0.1772,1.1732,7,私募基金.xlsx,Y,Y,N,Y,星恒哲萌1号,1.180500,2026-09-04,293,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-31 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
SQA058,濡圣领航2号,期货策略,量化期货,上海濡圣,2021-03-16,+0.03%,+1.60%,-0.97%,-8.54%,+1.31%,-0.0722,0.1230,7,私募基金.xlsx,Y,Y,N,Y,濡圣领航2号,1.051000,2026-09-10,1272,2026-09-10,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-09-02 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-10,ok,N
SQA205,弈衡旭日6号,组合策略,FOF,北京弈衡,2021-03-08,+0.06%,+4.24%,-2.56%,-0.28%,+6.26%,0.3685,0.7487,7,私募基金 (4).xlsx,Y,Y,N,Y,弈衡旭日6号,0.989100,2026-09-04,545,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
SQA247,德远君林宏观策略一号,多资产策略,宏观策略,深圳德远投资,2021-03-15,+0.98%,+10.75%,+9.92%,+3.96%,+24.23%,1.3817,2.3204,7,私募基金 (3).xlsx,Y,Y,N,Y,德远君林宏观策略一号,1.211100,2026-09-04,395,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-31 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
SQA343,睦沣飒露紫一期,期货策略,量化期货,上海睦沣投资,2021-03-23,+0.50%,+10.62%,+13.95%,+6.97%,+14.21%,0.4555,0.9281,7,私募基金.xlsx,Y,Y,Y,Y,睦沣飒露紫一期,1.397000,2026-09-09,1268,2026-09-09,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-09-02 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-09,ok,Y
SQA623,宏翼高频1号,套利策略,期货套利,上海宏翼,2021-03-30,-1.29%,+2.91%,+9.55%,+7.24%,+11.03%,0.5640,0.6254,7,私募基金 (1).xlsx,Y,Y,N,Y,宏翼高频1号,1.114500,2026-09-07,352,2026-09-07,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-31 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-07,ok,N
SQB053,灵均量化多空多策略,多资产策略,复合策略,宁波灵均投资,2021-04-12,-0.49%,+6.33%,-1.65%,+0.50%,+10.71%,0.8049,1.1627,7,私募基金 (3).xlsx,Y,Y,N,Y,灵均量化多空多策略,1.612000,2026-09-04,1089,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
SQB407,探普宏观量化资产配置1号,组合策略,FOF,上海探普久盈,2021-03-02,+0.01%,+0.50%,-1.02%,-1.05%,+5.59%,0.9532,2.0180,7,私募基金 (4).xlsx,Y,Y,N,N,探普宏观量化资产配置1号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,,N
SQB573,懋良睿澄对冲,多资产策略,复合策略,上海懋良投资,2021-03-16,-0.05%,+0.83%,+2.77%,+4.76%,+24.78%,1.5979,3.6854,7,私募基金 (3).xlsx,Y,Y,N,N,懋良睿澄对冲私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,,N
SQB632,远澜红枫私享12号,期货策略,量化期货,上海远澜,2021-04-01,+2.74%,+4.81%,+10.29%,+7.74%,+40.53%,2.0903,5.2002,7,私募基金.xlsx,Y,Y,N,Y,远澜红枫私享12号,1.351000,2026-09-04,844,2026-09-04,919,0,0,Y,weekly,weekly,1-3m job now within 1 month; weekly Friday FundMultiPrice,2026-09-04,ok,N
SQC001,杭州探融-锦鲤智能量化3号,套利策略,可转债套利,杭州探融投资,2021-04-19,-0.33%,-0.69%,-0.61%,-1.56%,+0.55%,-0.5696,0.2728,7,私募基金 (1).xlsx,Y,Y,N,Y,杭州探融-锦鲤智能量化3号,1.277500,2026-09-04,499,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
SQC288,蓝色天际12号,期货策略,量化期货,北京蓝色天际投资,2021-03-11,-2.30%,+11.69%,-9.19%,-10.43%,+23.21%,0.5982,0.8776,7,私募基金.xlsx,Y,Y,N,Y,蓝色天际12号,2.628000,2026-09-04,836,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
SQC646,平石U3期权对冲二期,期权策略,场内期权,深圳平石资管,2021-04-12,+0.10%,+4.84%,+0.44%,-4.72%,-1.31%,-0.4900,-0.1314,7,私募基金 (2).xlsx,Y,Y,N,Y,平石U3期权对冲二期,1.242000,2026-09-04,302,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
SQC770,犇牛稳进5号,期权策略,场内期权,上海犇牛,2021-03-23,-0.15%,+0.30%,-1.18%,+0.60%,,,,4,私募基金 (2).xlsx,Y,Y,N,Y,犇牛稳进5号,0.672000,2026-09-04,40,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
SQD037,均成CTA增强1号,多资产策略,复合策略,广东横琴均成,2021-03-15,+4.23%,+12.82%,-2.39%,-5.22%,+8.93%,0.3434,0.4252,7,私募基金 (3).xlsx,Y,Y,N,Y,均成CTA增强1号,1.990400,2026-09-09,309,2026-09-09,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-09,ok,N
SQD051,智领弦量1号,期货策略,量化期货,福州智领三联,2021-03-24,+0.18%,+1.02%,+5.84%,+7.51%,+8.15%,1.4655,2.6783,7,私募基金.xlsx,Y,Y,Y,Y,智领弦量1号,1.088000,2026-09-04,279,2026-09-04,0,504,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,Y
SQD279,博润吾同CTA1号,期货策略,量化期货,北京博润银泰投资,2021-04-06,+0.28%,+2.30%,-0.62%,-5.18%,+2.68%,0.0686,0.2679,7,私募基金.xlsx,Y,Y,N,Y,博润吾同CTA1号,1.394000,2026-09-04,301,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
SQD327,平凡笃行君享,套利策略,,北京平凡,2021-04-29,-1.54%,0.00%,-5.15%,-3.21%,+7.84%,0.4449,0.9678,7,私募基金 (1).xlsx,Y,Y,N,Y,平凡笃行君享,1.087000,2026-09-04,274,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
SQD405,淳能福田增值1号,期货策略,主观期货,上海淳能投资,2021-04-13,+4.80%,+3.75%,+4.63%,+2.89%,+4.01%,0.1292,0.3898,7,私募基金.xlsx,Y,Y,N,Y,淳能福田增值1号,1.244000,2026-09-04,325,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
SQD546,九招真格量化套利一号,套利策略,期货套利,武汉九招,2021-03-16,+0.32%,+1.49%,+2.49%,+5.85%,+13.93%,4.9956,28.8428,7,私募基金 (1).xlsx,Y,Y,Y,Y,九招真格量化套利一号,1.078000,2026-09-04,310,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-31 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,Y
SQD620,深度梦扬量化套利0号,期权策略,场内期权,杭州深度资管,2021-04-19,-0.09%,+3.79%,+3.60%,+2.37%,+9.88%,1.4185,2.4158,7,私募基金 (2).xlsx,Y,Y,Y,Y,深度梦扬量化套利0号,1.128000,2026-09-09,523,2026-09-09,0,1238,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-09,ok,Y
SQD915,智领弦量3号,期货策略,量化期货,福州智领三联,2021-03-16,+0.11%,+0.93%,+5.53%,+7.48%,+7.93%,1.4242,2.5596,7,私募基金.xlsx,Y,Y,N,Y,智领弦量3号,1.103600,2026-09-04,1270,2026-09-04,39,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
SQE129,明睿骁云策略,期货策略,主观期货,北京明睿,2021-04-14,-0.10%,+0.51%,-0.91%,-4.19%,-1.29%,-0.5255,-0.2337,7,私募基金.xlsx,Y,Y,N,Y,明睿骁云策略,0.983000,2026-09-07,325,2026-09-07,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-31 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-07,ok,N
SQE327,凡旭维纳斯9号,期货策略,量化期货,珠海凡旭,2021-05-10,+1.95%,+23.77%,+33.66%,+47.27%,+97.48%,2.8090,3.7946,7,私募基金.xlsx,Y,Y,N,Y,凡旭维纳斯9号对冲套利,1.254500,2026-09-07,281,2026-09-07,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-24 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-07,ok,N
SQE357,鼎一兑弈超越,期货策略,量化期货,深圳前海鼎一,2021-03-22,+0.35%,-1.14%,+5.70%,+4.65%,-5.37%,-0.4621,-0.3277,7,私募基金.xlsx,Y,Y,N,Y,鼎一兑弈超越,1.209000,2026-09-04,309,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
SQE481,勤远锐锋,期货策略,量化期货,上海勤远,2021-03-24,+3.77%,+6.04%,-1.64%,+3.87%,+2.00%,-0.0017,0.1201,7,私募基金.xlsx,Y,Y,N,Y,勤远锐锋,1.023000,2026-09-08,290,2026-09-08,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-24 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-08,ok,N
SQE943,翊安投资宸丰1号,多资产策略,复合策略,上海翊安投资,2021-03-19,-0.33%,+1.01%,-0.51%,-3.71%,+32.20%,0.6323,1.3804,7,私募基金 (3).xlsx,Y,Y,N,Y,翊安投资宸丰1号,4.520000,2026-09-04,285,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
SQF017,在赢排云5号,套利策略,期货套利,浙江在赢,2021-04-01,-2.59%,-0.31%,-5.75%,+1.61%,+18.74%,1.0354,1.5105,7,私募基金 (1).xlsx,Y,Y,N,Y,在赢排云5号,1.815200,2026-09-07,574,2026-09-07,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-24 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-07,ok,N
SQF322,博普CTA多策略5号,期货策略,量化期货,深圳前海博普资管,2021-03-30,+8.11%,+9.31%,+15.80%,+2.81%,-14.50%,-0.8551,-0.5380,7,私募基金.xlsx,Y,Y,N,Y,博普CTA多策略5号,0.961400,2026-09-04,305,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
SQF572,宽渡暖阳1号,多资产策略,宏观策略,上海宽渡,2021-03-23,-0.48%,+1.46%,-0.63%,-2.64%,+15.41%,1.3347,2.1828,7,私募基金 (3).xlsx,Y,Y,N,Y,宽渡暖阳1号,1.234700,2026-09-04,306,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
SQG026,惠隆金选套利1号,套利策略,期货套利,北京惠隆资管,2021-09-23,+0.26%,+1.07%,+3.09%,+5.87%,+13.82%,6.4438,49.9044,7,私募基金 (1).xlsx,Y,Y,N,Y,惠隆金选套利1号,1.136000,2026-09-04,285,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
SQG050,鲨鱼永续东海量化,期货策略,量化期货,珠海鲨鱼资管,2021-04-02,-6.24%,+11.22%,-28.52%,-22.14%,-25.98%,-0.3790,-0.5262,7,私募基金.xlsx,Y,Y,N,Y,鲨鱼永续东海量化,0.452000,2026-09-10,899,2026-09-10,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-09-03 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-10,ok,N
SQG849,广聚星合FOF1号,组合策略,FOF,共青城广聚星合,2021-04-14,+1.37%,+3.32%,-0.91%,-2.24%,+23.88%,1.2259,2.7159,7,私募基金 (4).xlsx,Y,Y,N,Y,广聚星合FOF1号,1.257800,2026-09-09,1244,2026-09-09,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-31 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-09,ok,N
SQG889,博普CTA多策略5号1期,期货策略,量化期货,深圳前海博普资管,2021-04-15,+8.03%,+8.89%,+15.20%,+2.01%,-16.82%,-0.9687,-0.5887,7,私募基金.xlsx,Y,Y,N,Y,博普CTA多策略5号1期,0.902700,2026-09-04,313,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
SQG913,岳皋华山一号,期权策略,场内期权,上海岳皋投资,2022-10-14,+0.21%,+2.50%,-2.78%,-3.97%,-5.30%,-1.0490,-0.6064,7,私募基金 (2).xlsx,Y,Y,N,Y,岳皋华山一号,0.946000,2026-09-10,891,2026-09-10,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-09-03 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-10,ok,N
