备案号,产品名称,一级策略,二级策略,管理人,成立日期,来源文件,是否在数据库,是否在产品主表,是否在BFL表,是否有净值,数据库产品名称,数据库最新净值,数据库最新净值日期,火富牛净值点数,火富牛最新净值日期,邮箱type6净值点数,邮箱group净值点数,邮箱hy净值点数,是否在火富牛宇宙,火富牛跟踪状态,火富牛策略,火富牛策略原因,火富牛最近成功抓取日,火富牛最近日志状态
SJR570,七禾聚英赛德稳健FOF,组合策略,FOF,杭州七禾聚资管,2020-02-28,私募基金 (4).xlsx,Y,Y,N,N,七禾聚英赛德稳健FOF私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SJR572,江煦六号,期货策略,量化期货,上海江煦,2020-02-21,私募基金.xlsx,Y,Y,N,N,江煦六号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SJR577,惠丰顾盈3号,多资产策略,复合策略,东莞市惠丰资管,2020-02-05,私募基金 (3).xlsx,Y,Y,N,N,惠丰顾盈3号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SJR587,广竣卡马一号,组合策略,MOM,厦门广竣资管,2020-03-05,私募基金 (4).xlsx,Y,Y,N,N,广竣卡马一号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SJR588,泊通致远2号,多资产策略,宏观策略,上海泊通投资,2020-02-20,私募基金 (3).xlsx,N,N,N,N,,,,0,,0,0,0,N,not_in_universe,,,,
SJR606,殊馥馥盛1号,套利策略,-,上海殊馥投资,2020-09-07,私募基金 (1).xlsx,Y,Y,N,N,殊馥馥盛1号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SJR617,凯丰宏观策略1号,多资产策略,宏观策略,深圳凯丰投资,2020-03-02,私募基金 (3).xlsx,Y,Y,N,N,凯丰宏观策略1号证券投资私募基金,,,0,,0,0,0,N,not_in_universe,,,,
SJR618,凯丰宏观策略1-1号,多资产策略,宏观策略,深圳凯丰投资,2020-03-27,私募基金 (3).xlsx,Y,Y,N,N,凯丰宏观策略1-1号证券投资私募基金,,,0,,0,0,0,N,not_in_universe,,,,
SJR626,兆前投资-路金2号期权策略,期权策略,场内期权,上海兆前,2020-03-02,私募基金 (2).xlsx,Y,Y,N,Y,兆前投资-路金2号期权策略,1.772400,2026-09-10,1521,2026-09-10,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-09-03 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-10,ok
SJR649,中盛恒升-含元量化对冲1号,多资产策略,复合策略,北京中盛恒升投资,2020-08-05,私募基金 (3).xlsx,Y,Y,N,N,中盛恒升-含元量化对冲1号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SJR677,宣夜投资涓流一号,套利策略,期货套利,上海宣夜投资,2020-03-16,私募基金 (1).xlsx,Y,Y,N,N,宣夜投资涓流一号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SJR679,厦门言起博士一号,套利策略,期权套利,厦门言起投资,2020-02-20,私募基金 (1).xlsx,Y,Y,N,N,厦门言起博士一号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SJR792,三和-大禾海岳3号,组合策略,FOF,深圳三和创赢资管,2020-03-19,私募基金 (4).xlsx,Y,Y,N,N,三和-大禾海岳3号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SJR802,青石-森瑞阳光2号,多资产策略,复合策略,青岛青石资管,2020-03-09,私募基金 (3).xlsx,N,N,N,N,,,,0,,0,0,0,N,not_in_universe,,,,
SJR873,鲸睿明湛期现套利一号,套利策略,期货套利,上海鲸睿资管,2020-03-10,私募基金 (1).xlsx,Y,Y,N,N,鲸睿明湛期现套利一号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SJR885,尊和安盈1号,期货策略,量化期货,杭州尊和资管,2020-03-03,私募基金.xlsx,Y,Y,Y,Y,尊和安盈1号,1.055700,2026-09-08,846,2026-09-08,0,447,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-26 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-08,ok
SJR957,纯信资产岩石1号,期货策略,量化期货,深圳纯信资管,2020-03-03,私募基金.xlsx,Y,Y,N,N,纯信资产岩石1号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SJR966,中邮永安鑫安一号,组合策略,FOF,上海中邮永安,2020-02-26,私募基金 (4).xlsx,Y,Y,N,Y,中邮永安鑫安一号,1.026000,2026-09-04,339,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok
SJR967,纯信资产前景1号,期货策略,量化期货,深圳纯信资管,2020-02-28,私募基金.xlsx,Y,Y,N,N,纯信资产前景1号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SJR989,彩霞湾CTA进取1号,期货策略,量化期货,宁波彩霞湾投资,2020-03-05,私募基金.xlsx,Y,Y,N,Y,彩霞湾CTA进取1号,2.159300,2026-09-04,383,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-31 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok
SJR992,彩霞湾探贝一期,组合策略,FOF,宁波彩霞湾投资,2020-03-05,私募基金 (4).xlsx,Y,Y,N,Y,彩霞湾探贝一期,1.721800,2026-08-31,383,2026-08-31,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-31 in/after 2026-08; weekly Friday FundMultiPrice,2026-08-31,no_data
SJR993,彩霞湾和风一期,多资产策略,复合策略,宁波彩霞湾投资,2020-03-05,私募基金 (3).xlsx,Y,Y,N,N,彩霞湾和风一期私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SJS027,百奕传家一号,套利策略,可转债套利,上海百奕投资,2020-03-23,私募基金 (1).xlsx,Y,Y,Y,Y,百奕传家一号,1.247000,2026-09-04,363,2026-09-04,0,1129,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok
SJS045,业海通金谷量化FOF一号,组合策略,FOF,深圳松湖金谷资管,2020-04-08,私募基金 (4).xlsx,Y,Y,N,N,业海通金谷量化FOF一号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SJS093,海钦精选,多资产策略,宏观策略,宁波海钦投资,2020-03-13,私募基金 (3).xlsx,Y,Y,N,N,海钦精选私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SJS104,叁津尊享1号,组合策略,FOF,广州叁津,2020-03-19,私募基金 (4).xlsx,Y,Y,N,N,叁津尊享1号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SJS116,安若1号,多资产策略,复合策略,珠海安若本然资管,2020-03-19,私募基金 (3).xlsx,Y,Y,N,N,安若1号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SJS135,雷根鑫宝六号,多资产策略,复合策略,上海雷根资管,2020-02-17,私募基金 (3).xlsx,Y,Y,N,N,雷根鑫宝六号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SJS186,华澄南极四号,期货策略,量化期货,北京华澄,2020-03-16,私募基金.xlsx,Y,Y,N,N,华澄南极四号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SJS200,牛牛优选卓越1号,套利策略,-,深圳卓臻,2020-03-16,私募基金 (1).xlsx,Y,Y,N,N,牛牛优选卓越1号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SJS214,韬选量化3号,套利策略,期权套利,深圳韬选优胜,2020-03-19,私募基金 (1).xlsx,Y,Y,N,N,韬选量化3号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SJS224,洵野多策略对冲一号,多资产策略,复合策略,上海洵野投资,2020-03-06,私募基金 (3).xlsx,N,N,N,N,,,,0,,0,0,0,N,not_in_universe,,,,
SJS236,镝力达润稳健量化对冲1号,多资产策略,复合策略,上海砥立,2020-02-20,私募基金 (3).xlsx,N,N,N,N,,,,0,,0,0,0,N,not_in_universe,,,,
SJS254,鲲腾量化复合1号,多资产策略,复合策略,深圳鲲腾,2020-03-10,私募基金 (3).xlsx,Y,Y,N,Y,鲲腾量化复合1号,1.341500,2026-09-04,556,2026-09-04,371,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok
SJS259,天宝喜鹊FOF1号,组合策略,FOF,广州天宝投资发展股份,2020-08-12,私募基金 (4).xlsx,Y,Y,N,N,天宝喜鹊FOF1号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SJS291,厚石天成磐石一号,多资产策略,复合策略,深圳厚石天成投资,2020-03-10,私募基金 (3).xlsx,Y,Y,N,N,厚石天成磐石一号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SJS293,新方程好买专享15号,组合策略,FOF,上海新方程,2020-03-17,私募基金 (4).xlsx,Y,Y,N,Y,新方程好买专享15号,1.047100,2026-09-04,379,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-31 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok
SJS294,嘉发期权研究权利巅峰一期,期权策略,场内期权,深圳嘉发资管,2020-04-03,私募基金 (2).xlsx,Y,Y,N,N,嘉发期权研究权利巅峰一期私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SJS298,蝶威深度智能稳健3号,多资产策略,复合策略,上海蝶威,2020-03-17,私募基金 (3).xlsx,Y,Y,N,N,蝶威深度智能稳健3号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SJS323,璞宏5号,多资产策略,复合策略,上海璞宏,2020-03-04,私募基金 (3).xlsx,Y,Y,N,N,璞宏5号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SJS366,达仁混合量化1号,多资产策略,复合策略,上海达仁资管,2020-02-19,私募基金 (3).xlsx,Y,Y,N,Y,达仁混合量化1号,3.033000,2026-09-04,1214,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok
SJS367,阿凡提盛京一号,期货策略,量化期货,沈阳阿凡提投资,2020-03-19,私募基金.xlsx,N,N,N,N,,,,0,,0,0,0,N,not_in_universe,,,,
SJS389,深圳长润君和胜和一号,多资产策略,复合策略,深圳长润君和资管,2020-03-03,私募基金 (3).xlsx,Y,Y,N,Y,深圳长润君和胜和一号,1.272000,2026-09-04,350,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok
SJS390,勤远尊享1号,组合策略,FOF,上海勤远,2020-03-09,私募基金 (4).xlsx,Y,Y,N,N,勤远尊享1号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SJS391,勤远尊享FOF2号,组合策略,FOF,上海勤远,2020-03-12,私募基金 (4).xlsx,Y,Y,N,N,勤远尊享FOF2号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SJS402,广金美好玻色十号,组合策略,FOF,广东横琴广鑫美好,2020-02-20,私募基金 (4).xlsx,Y,Y,N,N,广金美好玻色十号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SJS428,地五道会长三号,组合策略,FOF,厦门地五道投资,2020-03-04,私募基金 (4).xlsx,Y,Y,N,N,地五道会长三号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SJS434,树山远星多策略精选1号,多资产策略,复合策略,共青城树山投资,2020-03-24,私募基金 (3).xlsx,Y,Y,N,N,树山远星多策略精选1号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SJS448,叁津同享1号,组合策略,FOF,广州叁津,2020-03-17,私募基金 (4).xlsx,Y,Y,N,N,叁津同享1号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SJS449,上衍投资大衍磐石稳健2号,期货策略,量化期货,上海上衍,2020-06-09,私募基金.xlsx,Y,Y,N,N,上衍投资大衍磐石稳健2号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SJS460,纯达正合CTA一号,期货策略,量化期货,上海纯达资管,2020-02-27,私募基金.xlsx,Y,Y,N,N,纯达正合CTA一号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SJS464,呈鸣麦田2号期权对冲,期权策略,场内期权,温州呈鸣投资,2020-03-09,私募基金 (2).xlsx,N,N,N,N,,,,0,,0,0,0,N,not_in_universe,,,,
SJS514,天源汇智16号,期货策略,主观期货,新疆天源汇智资管,2020-05-11,私募基金.xlsx,N,N,N,N,,,,0,,0,0,0,N,not_in_universe,,,,
SJS515,吴氏庚子启示录,期货策略,主观期货,西安古城吴氏,2020-05-08,私募基金.xlsx,Y,Y,N,N,吴氏庚子启示录私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SJS520,兰慕锐利1号,多资产策略,宏观策略,上海兰慕资管,2020-03-11,私募基金 (3).xlsx,Y,Y,N,N,兰慕锐利1号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SJS523,兰慕锐利2号,多资产策略,宏观策略,上海兰慕资管,2020-03-24,私募基金 (3).xlsx,Y,Y,N,N,兰慕锐利2号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SJS528,海钦2号单一,多资产策略,宏观策略,宁波海钦投资,2020-03-23,私募基金 (3).xlsx,Y,Y,N,N,海钦2号单一私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SJS536,兆信15号,多资产策略,复合策略,浙江兆信投资,2020-03-26,私募基金 (3).xlsx,Y,Y,N,N,兆信15号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SJS554,厚德恒方致远二号,多资产策略,复合策略,广东厚德信达基金,2020-03-05,私募基金 (3).xlsx,Y,Y,N,N,厚德恒方致远二号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SJS558,国道银1号,多资产策略,复合策略,上海国道资管,2020-10-12,私募基金 (3).xlsx,Y,Y,N,N,国道银1号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SJS603,芷瀚量化CTA八号,期货策略,量化期货,上海芷瀚资管,2020-02-28,私募基金.xlsx,Y,Y,N,N,芷瀚量化CTA八号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SJS607,浦裔鸮尊3号,多资产策略,复合策略,上海浦裔,2020-02-24,私募基金 (3).xlsx,N,N,N,N,,,,0,,0,0,0,N,not_in_universe,,,,
SJS610,小黑妞全天候2号,多资产策略,宏观策略,上海小黑妞资管,2020-02-21,私募基金 (3).xlsx,Y,Y,N,N,小黑妞全天候2号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SJS630,长航-钱江1号大宗商品期权投资,期权策略,场内期权,杭州长航资管,2020-05-06,私募基金 (2).xlsx,N,N,N,N,,,,0,,0,0,0,N,not_in_universe,,,,
SJS632,炳富红五星中性,期货策略,量化期货,上海炳富投资,2020-03-06,私募基金.xlsx,Y,Y,N,N,炳富红五星中性私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SJS685,桥睿334,组合策略,FOF,浙江桥睿资管,2020-03-26,私募基金 (4).xlsx,Y,Y,N,N,桥睿334私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SJS710,镝力诺铖进取,多资产策略,复合策略,上海砥立,2020-02-28,私募基金 (3).xlsx,N,N,N,N,,,,0,,0,0,0,N,not_in_universe,,,,
SJS741,凯丰宏观策略16-18号,多资产策略,宏观策略,深圳凯丰投资,2020-09-18,私募基金 (3).xlsx,Y,Y,N,N,凯丰宏观策略16-18号证券投资私募基金,,,0,,0,0,0,N,not_in_universe,,,,
SJS747,浮石对冲6号,套利策略,-,北京浮石投资,2020-03-06,私募基金 (1).xlsx,N,N,N,N,,,,0,,0,0,0,N,not_in_universe,,,,
SJS748,浮石对冲5号,套利策略,-,北京浮石投资,2020-03-19,私募基金 (1).xlsx,N,N,N,N,,,,0,,0,0,0,N,not_in_universe,,,,
SJS768,期期恒基春秋1号,多资产策略,复合策略,上海期期投资,2020-03-24,私募基金 (3).xlsx,Y,Y,N,N,期期恒基春秋1号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SJS770,青石量化三号,套利策略,-,青岛青石资管,2020-04-28,私募基金 (1).xlsx,N,N,N,N,,,,0,,0,0,0,N,not_in_universe,,,,
SJS771,拿特复兴六期,多资产策略,复合策略,上海拿特资管,2020-02-21,私募基金 (3).xlsx,Y,Y,N,N,拿特复兴六期私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SJS811,凡德量化八号,套利策略,期货套利,广东凡德投资,2020-03-02,私募基金 (1).xlsx,Y,Y,N,Y,凡德量化八号,1.494000,2026-09-08,411,2026-09-08,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-08,ok
SJS888,和元达元八号量化,期货策略,量化期货,广州和元达,2020-02-28,私募基金.xlsx,Y,Y,N,Y,和元达元八号量化私募证券投资基金,1.449000,2023-12-21,0,,928,0,0,N,not_in_universe,,,,
SJS890,平凡浩睿,套利策略,基金套利,北京平凡,2020-03-04,私募基金 (1).xlsx,Y,Y,Y,Y,平凡浩睿,2.418800,2026-09-10,335,2026-09-10,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-10,ok
SJS933,善境君谦星火1号,多资产策略,复合策略,北京凌澜,2020-02-24,私募基金 (3).xlsx,Y,Y,N,N,善境君谦星火1号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SJS974,国泰中兴河洛混合二期,多资产策略,复合策略,北京国泰中兴,2020-06-16,私募基金 (3).xlsx,Y,Y,N,N,国泰中兴河洛混合二期私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SJS987,世宽CTA6期,组合策略,FOF,厦门世宽,2020-03-19,私募基金 (4).xlsx,Y,Y,N,N,世宽CTA6期私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SJS993,惠丰季季盈3号,多资产策略,复合策略,东莞市惠丰资管,2020-03-24,私募基金 (3).xlsx,Y,Y,N,N,惠丰季季盈3号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SJT066,胜冠麒盈公益,组合策略,FOF,广州胜冠投资,2020-03-17,私募基金 (4).xlsx,Y,Y,N,N,胜冠麒盈公益私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SJT077,昌宏盛瑞北极星一号,多资产策略,复合策略,深圳昌宏盛瑞投资,2020-03-09,私募基金 (3).xlsx,Y,Y,N,Y,昌宏盛瑞北极星一号私募证券投资基金,3.631500,2021-10-22,0,,394,0,0,N,not_in_universe,,,,
SJT090,韬晟清静一号期货投资,期货策略,量化期货,杭州韬晟资管,2020-03-30,私募基金.xlsx,N,N,N,N,,,,0,,0,0,0,N,not_in_universe,,,,
SJT094,兆信飞翔8号,多资产策略,宏观策略,江苏兆信,2020-05-13,私募基金 (3).xlsx,Y,Y,N,N,兆信飞翔8号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SJT100,云杉多策略1号,多资产策略,复合策略,北京云杉千里资管,2020-03-27,私募基金 (3).xlsx,Y,Y,N,N,云杉多策略1号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SJT122,显德乐易1期,多资产策略,复合策略,上海显德资管,2020-03-10,私募基金 (3).xlsx,N,N,N,N,,,,0,,0,0,0,N,not_in_universe,,,,
SJT125,金伯珠旭晟CTA,期货策略,量化期货,南京金伯珠资管,2020-03-20,私募基金.xlsx,Y,Y,N,N,金伯珠旭晟CTA私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SJT172,辉隆中诚量化多策略一号,多资产策略,复合策略,北京辉隆投资,2020-03-03,私募基金 (3).xlsx,Y,Y,N,N,辉隆中诚量化多策略一号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SJT177,明睿绝对收益配置二期,多资产策略,复合策略,北京明睿,2020-03-10,私募基金 (3).xlsx,Y,Y,N,N,明睿绝对收益配置二期私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SJT185,勤远至实1号,期货策略,主观期货,上海勤远,2020-03-12,私募基金.xlsx,Y,Y,N,N,勤远至实1号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SJT186,勤远至能1号,期货策略,量化期货,上海勤远,2020-03-17,私募基金.xlsx,Y,Y,N,N,勤远至能1号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SJT190,勤远策略优选2号,组合策略,FOF,上海勤远,2020-03-11,私募基金 (4).xlsx,Y,Y,N,N,勤远策略优选2号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SJT197,瑞信瑞鑫9号,多资产策略,复合策略,深圳瑞信致远,2020-03-27,私募基金 (3).xlsx,Y,Y,N,N,瑞信瑞鑫9号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SJT202,向日葵永丽FOF1号,组合策略,FOF,上海向日葵投资,2020-03-12,私募基金 (4).xlsx,Y,Y,N,N,向日葵永丽FOF1号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SJT248,雷根鑫宝二号,多资产策略,复合策略,上海雷根资管,2020-03-03,私募基金 (3).xlsx,Y,Y,N,N,雷根鑫宝二号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SJT249,无量宏观量化多策略1号,多资产策略,宏观策略,海南无量,2020-03-20,私募基金 (3).xlsx,Y,Y,Y,Y,无量宏观量化多策略1号,2.486400,2026-09-04,352,2026-09-04,0,884,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-31 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok
SJT251,无量宏观量化多策略行稳二号,多资产策略,宏观策略,海南无量,2020-03-24,私募基金 (3).xlsx,Y,Y,Y,Y,无量宏观量化多策略行稳二号,1.771000,2026-09-04,351,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-31 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok
SJT252,泓大资产-招享量化CTA1号,期货策略,量化期货,海南泓大,2020-03-02,私募基金.xlsx,Y,Y,N,N,泓大资产-招享量化CTA1号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SJT273,睿沣晨骏宏观对冲,多资产策略,宏观策略,上海睿沣,2020-03-02,私募基金 (3).xlsx,Y,Y,N,N,睿沣晨骏宏观对冲私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SJT286,悟门投资兴宸一期,多资产策略,复合策略,青岛悟门投资,2020-03-09,私募基金 (3).xlsx,Y,Y,N,N,悟门投资兴宸一期私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SJT294,言信晚霞1号,期货策略,量化期货,浙江言信,2020-07-09,私募基金.xlsx,Y,Y,N,N,言信晚霞1号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SJT297,巨量边界摩尔智能1号,多资产策略,复合策略,北京巨量边界,2020-03-13,私募基金 (3).xlsx,Y,Y,N,Y,巨量边界多策略稳健1号,0.808100,2026-09-04,365,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok
SJT307,聚亿7号,期货策略,主观期货,珠海聚亿基金,2020-03-23,私募基金.xlsx,Y,Y,N,N,聚亿7号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SJT310,君信荣耀复利一号,套利策略,期权套利,福建君信,2020-05-11,私募基金 (1).xlsx,Y,Y,N,N,君信荣耀复利一号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SJT317,金丰泽梧咏复合策略1号,多资产策略,复合策略,深圳前海金丰泽投资,2020-03-04,私募基金 (3).xlsx,Y,Y,N,N,金丰泽梧咏复合策略1号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SJT328,南象4号,期货策略,量化期货,杭州南象资管,2020-03-27,私募基金.xlsx,Y,Y,N,N,南象4号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SJT411,益友汇九个星七号期权策略,期权策略,场内期权,深圳益友汇投资,2020-03-23,私募基金 (2).xlsx,N,N,N,N,,,,0,,0,0,0,N,not_in_universe,,,,
SJT452,锦天成易武精选,期货策略,量化期货,成都锦天成资管,2020-03-10,私募基金.xlsx,Y,Y,N,Y,锦天成易武精选,1.907700,2026-08-31,445,2026-08-31,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-31 in/after 2026-08; weekly Friday FundMultiPrice,2026-08-31,no_data
SJT474,智裕多策略2号,多资产策略,复合策略,上海极元智裕投资,2020-03-18,私募基金 (3).xlsx,Y,Y,N,N,智裕多策略2号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SJT498,盛泉恒元量化套利22号,套利策略,股票套利,南京盛泉恒元投资,2020-09-29,私募基金 (1).xlsx,Y,Y,N,N,盛泉恒元量化套利22号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SJT502,把脉金砖资本11号,多资产策略,宏观策略,广东把脉,2020-03-26,私募基金 (3).xlsx,Y,Y,N,N,把脉金砖资本11号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SJT504,把脉金砖资本13号,多资产策略,宏观策略,广东把脉,2020-04-16,私募基金 (3).xlsx,Y,Y,N,Y,把脉金砖资本13号,1.874300,2026-09-04,340,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok
SJT521,金涌多策略2号,组合策略,FOF,深圳弘毅金涌资管,2020-03-26,私募基金 (4).xlsx,Y,Y,N,N,金涌多策略2号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SJT546,领星圆星翼成1号,组合策略,FOF,北京领星资管,2020-02-27,私募基金 (4).xlsx,Y,Y,N,N,领星圆星翼成1号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SJT563,华澄金星,期货策略,量化期货,北京华澄,2020-03-10,私募基金.xlsx,Y,Y,N,N,华澄金星私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SJT567,华澄水星,期货策略,量化期货,北京华澄,2020-03-13,私募基金.xlsx,Y,Y,N,N,华澄水星私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SJT588,灵鹤鑫源二号,多资产策略,复合策略,上海灵鹤资管,2020-03-03,私募基金 (3).xlsx,Y,Y,N,N,灵鹤鑫源二号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SJT589,名士复合策略2号,多资产策略,复合策略,厦门名士智励,2020-08-05,私募基金 (3).xlsx,Y,Y,N,N,名士复合策略2号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SJT606,持赢丹娜基本面量化CTA一号,期货策略,量化期货,上海持赢投资,2020-06-30,私募基金.xlsx,Y,Y,N,N,持赢丹娜基本面量化CTA一号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SJT626,本利达稳健投资增长FOF,组合策略,FOF,深圳本利达资管,2020-03-04,私募基金 (4).xlsx,Y,Y,N,N,本利达稳健投资增长FOF私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SJT658,东航金融-量化精选一期,期货策略,量化期货,东航基金,2020-03-04,私募基金.xlsx,Y,Y,N,Y,东航金融-量化精选一期,1.129200,2026-09-04,1183,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok
