备案号,产品名称,一级策略,二级策略,管理人,成立日期,来源文件,是否在数据库,是否在产品主表,是否在BFL表,是否有净值,数据库产品名称,数据库最新净值,数据库最新净值日期,火富牛净值点数,火富牛最新净值日期,邮箱type6净值点数,邮箱group净值点数,邮箱hy净值点数,是否在火富牛宇宙,火富牛跟踪状态,火富牛策略,火富牛策略原因,火富牛最近成功抓取日,火富牛最近日志状态
80101I,平安阖鼎-全天候私募菁英组合1号I,多资产策略,宏观策略,海南平安,2015-09-28,私募基金 (3).xlsx,N,N,N,N,,,,0,,0,0,0,N,not_in_universe,,,,
81161A,平安阖鼎-九鞅量化一号A,多资产策略,复合策略,海南平安,2015-12-08,私募基金 (3).xlsx,N,N,N,N,,,,0,,0,0,0,N,not_in_universe,,,,
81161B,平安阖鼎-九鞅量化一号B,多资产策略,复合策略,海南平安,2015-12-08,私募基金 (3).xlsx,N,N,N,N,,,,0,,0,0,0,N,not_in_universe,,,,
82267A,好投鼎实A类,组合策略,FOF,广州鼎实,2015-09-30,私募基金 (4).xlsx,Y,Y,N,Y,好投鼎实A类,3.171900,2026-09-04,26,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-31 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok
82267B,好投鼎实B类,组合策略,FOF,广州鼎实,2015-09-30,私募基金 (4).xlsx,Y,Y,N,Y,好投鼎实B类,3.131900,2026-09-04,45,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-31 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok
83443A,柒福信腾一期A,多资产策略,宏观策略,福州东燊,2015-10-21,私募基金 (3).xlsx,N,N,N,N,,,,0,,0,0,0,N,not_in_universe,,,,
83994A,远澜云杉多策略A类,期货策略,量化期货,上海远澜,2015-11-04,私募基金.xlsx,N,N,N,N,,,,0,,0,0,0,N,not_in_universe,,,,
83994B,远澜云杉多策略B类,期货策略,量化期货,上海远澜,2015-11-04,私募基金.xlsx,N,N,N,N,,,,0,,0,0,0,N,not_in_universe,,,,
84936A,鹤骑鹰奇异指数对冲实验A,多资产策略,复合策略,上海鹤骑鹰投资,2015-12-01,私募基金 (3).xlsx,N,N,N,N,,,,0,,0,0,0,N,not_in_universe,,,,
84936B,鹤骑鹰奇异指数对冲实验B,多资产策略,复合策略,上海鹤骑鹰投资,2015-12-01,私募基金 (3).xlsx,N,N,N,N,,,,0,,0,0,0,N,not_in_universe,,,,
86255B,双隆-隆盛1号B类,期权策略,场内期权,上海双隆投资,2015-10-21,私募基金 (2).xlsx,Y,Y,N,Y,双隆-隆盛1号B类,2.387800,2026-09-04,596,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok
AAC81A,银创歌者全天候1号A类,多资产策略,宏观策略,江苏银创资本,2023-09-05,私募基金 (3).xlsx,Y,Y,N,Y,银创歌者全天候1号A类,1.326900,2026-09-10,671,2026-09-10,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-09-03 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-10,ok
AAD23A,浅行多策略对冲1号A类,多资产策略,复合策略,海南浅行,2023-08-24,私募基金 (3).xlsx,N,N,N,N,,,,0,,0,0,0,N,not_in_universe,,,,
AAD85B,本地资本珞珈黄埔8号B类,组合策略,FOF,深圳本地资管,2023-11-24,私募基金 (4).xlsx,Y,Y,N,Y,本地资本珞珈黄埔8号B类,0.936100,2026-09-04,153,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok
AAK02A,吉余李字壹号A类,期货策略,主观期货,上海吉余,2023-08-29,私募基金.xlsx,N,N,N,N,,,,0,,0,0,0,N,not_in_universe,,,,
AAK50B,三个尖泰麋丙寅贰B类,期货策略,量化期货,海南三个尖,2023-09-22,私募基金.xlsx,N,N,N,N,,,,0,,0,0,0,N,not_in_universe,,,,
AAL90A,嘉合杉升量化CTA进取一号A类,期货策略,量化期货,杭州嘉合杉升,2023-09-07,私募基金.xlsx,Y,Y,N,Y,嘉合杉升量化CTA进取一号A类,1.370300,2026-09-04,85,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-26 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok
