beian_hao,product_name,list_nav_date,list_nav,nav_table_max_date,nav_table_nav_at_max,have_latest_date,date_bucket,empty_date_probe,fof99_policy
SAGB84,唐德傲梅量化CTA一号,2026-08-28,0.944100,2026-08-28,0.944100,2026-08-28,1个月内,,weekly
SAGF16,骐邦-骐纵新程成长1号,2026-08-28,1.530700,2026-08-28,1.530700,2026-08-28,1个月内,,weekly
SAGV64,米纳1000指数增强2号,2026-08-28,1.311900,2026-08-28,1.311900,2026-08-28,1个月内,,weekly
SAHA95,数法日月星辰3号,2026-08-28,4.935600,2026-08-28,4.935600,2026-08-28,1个月内,,weekly
SAHM04,唐德幽兰量化套利一号,2026-08-28,1.073100,2026-08-28,1.073100,2026-08-28,1个月内,,weekly
SAHN62,磐松市场中性2号,2026-08-28,1.233100,2026-08-28,1.233100,2026-08-28,1个月内,,weekly
SAHU28,配邦中圣,2026-08-28,1.284000,2026-08-28,1.284000,2026-08-28,1个月内,,weekly
SAHU37,磐松红利指数增强2号,2026-08-28,1.258900,2026-08-28,1.258900,2026-08-28,1个月内,,weekly
SAHU42,远澜冬青跨境套利1号,2026-08-28,1.480000,2026-08-28,1.480000,2026-08-28,1个月内,,weekly
SAHV29,刀锋臻传一期私募证券投资基金,2026-08-28,1.014800,2026-08-28,1.014800,2026-08-28,1个月内,,weekly
SAHX36,慕途商品套利1号私募证券投资基金,2026-08-28,1.057800,2026-08-28,1.057800,2026-08-28,1个月内,,weekly
SAJB69,唐德坚竹量化1号,2026-08-28,1.588400,2026-08-28,1.588400,2026-08-28,1个月内,,weekly
SAJD82,盛恒五号中证1000指数增强,2026-08-28,1.891200,2026-08-28,1.891200,2026-08-28,1个月内,,weekly
SAJH39,进化论多棱镜沪深300指数增强,2026-08-28,1.544900,2026-08-28,1.544900,2026-08-28,1个月内,,weekly
SAJU22,趣时远见,2026-08-28,2.065200,2026-08-28,2.065200,2026-08-28,1个月内,,weekly
SAKB02,宽辅优享1号,2026-08-28,1.095800,2026-08-28,1.095800,2026-08-28,1个月内,,weekly
SAKB10,唐德守御黄金增强1号,2026-08-28,0.953500,2026-08-28,0.953500,2026-08-28,1个月内,,weekly
SAKD25,千衍三涛30号,2026-08-28,1.222500,2026-08-28,1.222500,2026-08-28,1个月内,,weekly
SAKX05,旭杨凌云一号,2026-08-28,1.081800,2026-08-28,1.081800,2026-08-28,1个月内,,weekly
SALG52,长鲸探源优选1号,2026-08-28,1.381600,2026-08-28,1.381600,2026-08-28,1个月内,,weekly
SALL30,量衍商品主观配置安泰1号,2026-08-28,0.963000,2026-08-28,0.963000,2026-08-28,1个月内,,weekly
SALN78,千衍六明2号,2026-08-28,0.979900,2026-08-28,0.979900,2026-08-28,1个月内,,weekly
SALP80,衍进成长1号,2026-08-28,1.720000,2026-08-28,1.720000,2026-08-28,1个月内,,weekly
SALT87,正定沪深300指数增强1号私募证券投资基金,2026-08-28,1.832200,2026-08-28,1.832200,2026-08-28,1个月内,,weekly
