beian_hao,fof99_fund_name,fof99_short_name,fof99_advisor,fof99_price_date,fof99_price_nav,fof99_inception_date,fof99_fund_state,fof99_fund_type,fof99_strategy_one,fof99_strategy_two,in_private_fund_info,list_product_name,list_nav_date,list_nav,table_bucket,in_amac,amac_fund_name,amac_working_state,amac_fund_type,amac_manager,missing_reason
SAVM56,兰盈量曜量化选股1号私募证券投资基金,兰盈量曜量化选股1号,上海兰盈量投,2026-09-03,0.9766,2026-06-30,1,2,股票多头,量化选股,yes,兰盈量曜量化选股1号私募证券投资基金,,,null_nav_date,yes,兰盈量曜量化选股1号私募证券投资基金,正在运作,,兰盈量投私募基金管理（上海）有限公司,in_table_null_latest_nav_date
SAVG07,九招盛世三号私募证券投资基金,九招盛世三号,武汉九招,2026-09-03,1.1609,2025-03-20,1,2,股票多头,可转债多头,yes,九招盛世三号私募证券投资基金,,,null_nav_date,yes,九招盛世三号私募证券投资基金,正在运作,私募证券投资基金,武汉九招私募基金管理有限公司,in_table_null_latest_nav_date
SAUH74,东源A500指数策略鑫享1号私募证券投资基金,东源A500指数策略鑫享1号,天津东源投资,2026-09-03,1.101,2025-02-25,1,2,股票多头,A500指增,yes,东源A500指数策略鑫享1号私募证券投资基金,,,null_nav_date,yes,东源A500指数策略鑫享1号私募证券投资基金,正在运作,私募证券投资基金,东源（天津）股权投资基金管理股份有限公司,in_table_null_latest_nav_date
SARH47,东源省心享中证A500兴泰进享1号私募证券投资基金,东源省心享中证A500兴泰进享1号,天津东源投资,2026-09-03,1.3799,2024-11-27,1,2,股票多头,A500指增,yes,东源省心享中证A500兴泰进享1号私募证券投资基金,,,null_nav_date,yes,东源省心享中证A500兴泰进享1号私募证券投资基金,正在运作,私募证券投资基金,东源（天津）股权投资基金管理股份有限公司,in_table_null_latest_nav_date
SARE96,乾铭满弘1号私募证券投资基金,乾铭满弘1号,浙江乾铭,2026-09-03,1.0737,2024-12-04,1,2,股票多头,,yes,乾铭满弘1号私募证券投资基金,,,null_nav_date,yes,乾铭满弘1号私募证券投资基金,正在运作,,浙江乾铭私募基金管理有限公司,in_table_null_latest_nav_date
SAQN37,龙智福星2号私募证券投资基金,龙智福星2号,广州龙智投资,2026-09-03,1.0078,2026-06-08,1,2,套利策略,,yes,龙智福星2号私募证券投资基金,,,null_nav_date,yes,龙智福星2号私募证券投资基金,正在运作,私募证券投资基金,广州市龙智投资管理有限公司,in_table_null_latest_nav_date
SAQF46,乾铭满星策略精选1号私募证券投资基金,乾铭满星策略精选1号,浙江乾铭,2026-09-03,0.9981,2024-11-14,1,2,股票多头,,yes,乾铭满星策略精选1号私募证券投资基金,,,null_nav_date,yes,乾铭满星策略精选1号私募证券投资基金,正在运作,私募证券投资基金,浙江乾铭私募基金管理有限公司,in_table_null_latest_nav_date
SALA06,抱朴石守正CTA1号私募证券投资基金,抱朴石守正CTA1号,厦门抱朴石,2026-09-03,1.0364,2026-04-23,1,2,期货策略,,yes,抱朴石守正CTA1号私募证券投资基金,,,null_nav_date,yes,抱朴石守正CTA1号私募证券投资基金,正在运作,,厦门抱朴石私募基金管理有限公司,in_table_null_latest_nav_date
SAKV85,阳泽启元1号私募证券投资基金,阳泽启元1号,杭州阳泽,2026-09-03,0.9292,2026-06-02,1,2,股票对冲,,yes,阳泽启元1号私募证券投资基金,,,null_nav_date,yes,阳泽启元1号私募证券投资基金,正在运作,私募证券投资基金,杭州阳泽私募基金管理有限公司,in_table_null_latest_nav_date
SAFH25,赢仕天阔私募证券投资基金,赢仕天阔,上海赢仕投资,2026-09-03,1.096,2026-05-18,1,2,股票多头,,yes,赢仕天阔私募证券投资基金,,,null_nav_date,yes,赢仕天阔私募证券投资基金,正在运作,私募证券投资基金,上海赢仕投资管理有限公司,in_table_null_latest_nav_date
