beian_hao,product_name,list_nav_date,list_nav,nav_table_max_date,nav_table_nav_at_max,have_latest_date,date_bucket,empty_date_probe,fof99_policy,fof99_source,fof99_latest_date,fof99_latest_nav
SLE099,毓颜CTA17号,2026-09-04,1.245000,2026-05-22,1.217300,2026-09-04,1个月以内,,weekly_plus,advancedlist,2026-08-28,1.236
SLB914,罗维盈安凌云增强2号,2026-09-04,2.791000,2026-05-22,3.272000,2026-09-04,1个月以内,,weekly_plus,advancedlist,2026-08-28,2.865
SJC726,元苔边际混合策略一号私募证券投资基金,2026-09-04,1.333000,,,2026-09-04,1个月以内,,weekly_plus,advancedlist,2026-08-28,1.421
SJA874,青蚨万德3号私募证券投资基金,2026-09-04,2.076500,,,2026-09-04,1个月以内,,weekly_plus,advancedlist,2026-08-28,2.0589
SH1956,量锐7号私募证券投资基金,2026-09-04,6.383300,,,2026-09-04,1个月以内,no_data,skip,,,
SET723,墨雪顺遂二号私募证券投资基金,2026-09-04,1.000000,,,2026-09-04,1个月以内,,update_slow,advancedlist,2020-07-21,1.17
SCV735,昭明润和500指数增强私募证券投资基金,2026-09-04,0.995900,,,2026-09-04,1个月以内,no_data,skip,,,
SCV226,茂源巴舍里耶2期私募证券投资基金,2026-09-04,1.782000,,,2026-09-04,1个月以内,no_data,skip,,,
SBWC83,众量资产添运8号私募证券投资基金,2026-09-04,1.072600,,,2026-09-04,1个月以内,,weekly_plus,advancedlist,2026-08-28,1.0834
SBVK42,鋆晟狮成套利1号私募证券投资基金,2026-09-04,1.002300,,,2026-09-04,1个月以内,no_data,skip,,,
SBVC85,峰云汇高山一号私募证券投资基金,2026-09-04,1.066400,,,2026-09-04,1个月以内,no_data,skip,,,
SBUW51,六妙星九紫二号私募证券投资基金,2026-09-04,1.091300,,,2026-09-04,1个月以内,no_data,skip,,,
SBUV99,青蚨万亿2号私募证券投资基金,2026-09-04,1.094700,,,2026-09-04,1个月以内,no_data,skip,,,
SBUR73,衡颐鼎燧1号私募证券投资基金,2026-09-04,0.988400,,,2026-09-04,1个月以内,no_data,skip,,,
SBSS95,立心学院菁英增强17号私募证券投资基金,2026-09-04,1.139200,,,2026-09-04,1个月以内,no_data,skip,,,
SBSJ74,百奕小天鹅2号私募证券投资基金,2026-09-04,0.742700,,,2026-09-04,1个月以内,no_data,skip,,,
SBSF96,乾上泉CTA恒远一号私募证券投资基金,2026-09-04,0.973200,,,2026-09-04,1个月以内,no_data,skip,,,
SBSD39,罗维盈安红利增强2号私募证券投资基金,2026-09-04,1.019400,,,2026-09-04,1个月以内,no_data,skip,,,
SBSA20,尚艺全周期中波版省心享1号私募证券投资基金,2026-09-04,1.077300,,,2026-09-04,1个月以内,no_data,skip,,,
SBRH07,明阅多资产1号,2026-09-04,1.059300,2026-05-27,1.059400,2026-09-04,1个月以内,no_data,skip,,,
SBPV73,赢仕木盛1号私募证券投资基金,2026-09-04,1.044000,,,2026-09-04,1个月以内,no_data,skip,,,
SBPC69,衡颐海宸1号私募证券投资基金,2026-09-04,1.172100,,,2026-09-04,1个月以内,no_data,skip,,,
SBPC39,大树-前海安溋8号私募证券投资基金,2026-09-04,1.236700,,,2026-09-04,1个月以内,no_data,skip,,,
SBPC20,六妙星九紫一号私募证券投资基金,2026-09-04,1.050600,,,2026-09-04,1个月以内,no_data,skip,,,
SBNX15,古木风云海1号,2026-09-04,0.740000,2026-05-22,1.538000,2026-09-04,1个月以内,,weekly_plus,advancedlist,2026-08-28,0.774
SBNJ90,鸣石广胜中证A500指数增强1号量化私募证券投资基金,2026-09-04,1.032100,,,2026-09-04,1个月以内,no_data,skip,,,
SBND97,衡颐睿享1号私募证券投资基金,2026-09-04,0.863200,,,2026-09-04,1个月以内,no_data,skip,,,
SBND12,君信中证1000指增1号私募证券投资基金,2026-09-04,0.983300,,,2026-09-04,1个月以内,,weekly_plus,advancedlist,2026-09-03,0.9913
SBMR16,润洲金石一号私募证券投资基金,2026-09-04,1.197300,,,2026-09-04,1个月以内,no_data,skip,,,
SBLS94,罗维盈安之升2000一号私募证券投资基金,2026-09-04,1.010100,,,2026-09-04,1个月以内,no_data,skip,,,
SBLP24,衡颐嘉选2号私募证券投资基金,2026-09-04,0.897900,,,2026-09-04,1个月以内,no_data,skip,,,
SBLF14,众量资产聚宝10号私募证券投资基金,2026-09-04,1.171600,,,2026-09-04,1个月以内,,weekly_plus,advancedlist,2026-08-28,1.1703
SBKM53,锡和鑫安商品套利1号私募证券投资基金,2026-09-04,1.096100,,,2026-09-04,1个月以内,no_data,skip,,,
SBKJ11,正合中证2000指增,2026-09-04,1.202100,2026-05-22,1.297600,2026-09-04,1个月以内,,weekly_plus,advancedlist,2026-08-31,1.2243
SBJV88,君信专享3号,2026-09-04,1.059000,2026-05-22,1.065400,2026-09-04,1个月以内,,weekly_plus,advancedlist,2026-08-28,1.049
SBJL51,山信酌远1号私募证券投资基金,2026-09-04,1.035700,,,2026-09-04,1个月以内,no_data,skip,,,
SBHJ56,华耀CTA一号私募证券投资基金,2026-09-04,1.070700,,,2026-09-04,1个月以内,,weekly_plus,advancedlist,2026-08-28,1.073
SBHH42,众量资产添运6号,2026-09-04,1.006609,2026-05-22,1.306900,2026-09-04,1个月以内,,weekly_plus,advancedlist,2026-08-28,1.0303
SBHE88,汇智晨星-晨优3号私募证券投资基金,2026-09-04,1.006300,,,2026-09-04,1个月以内,no_data,skip,,,
SBHE19,罗维盈安启航中证全指1号私募证券投资基金,2026-09-04,1.078900,,,2026-09-04,1个月以内,no_data,skip,,,
SBGS17,正合中证500指数增强私募证券投资基金,2026-09-04,1.215200,,,2026-09-04,1个月以内,no_data,skip,,,
SBFM35,金友至远1号私募证券投资基金,2026-09-04,1.074300,,,2026-09-04,1个月以内,no_data,skip,,,
SBDF95,锐耐稳健对冲11号私募证券投资基金,2026-09-04,4.595500,,,2026-09-04,1个月以内,no_data,skip,,,
SBCM82,众量多元化CTA积极型2号私募证券投资基金,2026-09-04,1.196100,,,2026-09-04,1个月以内,no_data,skip,,,
