date,code,value
2008/03/01,EMM00072301,8.3097
2008/02/01,EMM00072301,8.7443
2008/01/01,EMM00072301,7.0781
2007/12/01,EMM00072301,6.51
2007/11/01,EMM00072301,6.94
2007/10/01,EMM00072301,6.5
2007/09/01,EMM00072301,6.24
2007/08/01,EMM00072301,6.52
2007/07/01,EMM00072301,5.62
2007/06/01,EMM00072301,4.36
2007/05/01,EMM00072301,3.39
2007/04/01,EMM00072301,3.03
2007/03/01,EMM00072301,3.28
2007/02/01,EMM00072301,2.71
2007/01/01,EMM00072301,2.17
2006/12/01,EMM00072301,2.81
2006/11/01,EMM00072301,1.88
2006/10/01,EMM00072301,1.41
2006/09/01,EMM00072301,1.51
2006/08/01,EMM00072301,1.32
2006/07/01,EMM00072301,1.03
2006/06/01,EMM00072301,1.51
2006/05/01,EMM00072301,1.38
2006/04/01,EMM00072301,1.21
2006/03/01,EMM00072301,0.8
2006/02/01,EMM00072301,0.86
2006/01/01,EMM00072301,1.89
2005/12/01,EMM00072301,1.56
2005/11/01,EMM00072301,1.31
2005/10/01,EMM00072301,1.22
2005/09/01,EMM00072301,0.88
2005/08/01,EMM00072301,1.26
2005/07/01,EMM00072301,1.8
2005/06/01,EMM00072301,1.6
2005/05/01,EMM00072301,1.76
2005/04/01,EMM00072301,1.83
2005/03/01,EMM00072301,2.69
2005/02/01,EMM00072301,3.95
2005/01/01,EMM00072301,1.91
2004/12/01,EMM00072301,2.42
2004/11/01,EMM00072301,2.85
2004/10/01,EMM00072301,4.27
2004/09/01,EMM00072301,5.19
2004/08/01,EMM00072301,5.25
2004/07/01,EMM00072301,5.27
2004/06/01,EMM00072301,4.97
2004/05/01,EMM00072301,4.37
2004/04/01,EMM00072301,3.8
2004/03/01,EMM00072301,3.04
2004/02/01,EMM00072301,2.09
2004/01/01,EMM00072301,3.17
2003/12/01,EMM00072301,3.19
2003/11/01,EMM00072301,2.95
2003/10/01,EMM00072301,1.81
2003/09/01,EMM00072301,1.11
2003/08/01,EMM00072301,0.91
2003/07/01,EMM00072301,0.52
2003/06/01,EMM00072301,0.34
2003/05/01,EMM00072301,0.66
2003/04/01,EMM00072301,1.04
2003/03/01,EMM00072301,0.92
2003/02/01,EMM00072301,0.2
2003/01/01,EMM00072301,0.39
2002/12/01,EMM00072301,-0.4
2002/11/01,EMM00072301,-0.7
2002/10/01,EMM00072301,-0.8
2002/09/01,EMM00072301,-0.7
2002/08/01,EMM00072301,-0.7
2002/07/01,EMM00072301,-0.9
2002/06/01,EMM00072301,-0.8
2002/05/01,EMM00072301,-1.1
2002/04/01,EMM00072301,-1.3
2002/03/01,EMM00072301,-0.8
2002/02/01,EMM00072301,0.0
2002/01/01,EMM00072301,-1.0
2001/12/01,EMM00072301,-0.3
2001/11/01,EMM00072301,-0.3
2001/10/01,EMM00072301,0.2
2001/09/01,EMM00072301,-0.1
2001/08/01,EMM00072301,1.0
2001/07/01,EMM00072301,1.5
2001/06/01,EMM00072301,1.4
2001/05/01,EMM00072301,1.7
2001/04/01,EMM00072301,1.6
2001/03/01,EMM00072301,0.8
2001/02/01,EMM00072301,0.0
2001/01/01,EMM00072301,1.19
2000/12/01,EMM00072301,1.5
2000/11/01,EMM00072301,1.3
2000/10/01,EMM00072301,0.0
2000/09/01,EMM00072301,0.0
2000/08/01,EMM00072301,0.3
2000/07/01,EMM00072301,0.5
2000/06/01,EMM00072301,0.5
2000/05/01,EMM00072301,0.1
2000/04/01,EMM00072301,-0.3
2000/03/01,EMM00072301,-0.2
2000/02/01,EMM00072301,0.7
2000/01/01,EMM00072301,-0.2
