来源,产品名称,备案编码,产品全称,备案编号,基金管理人,投资顾问,成立日期,备案日期,托管券商,基金经理,开放日,是否可临开,申购费,追加限制,赎回费,预警线,封闭期,平仓线,管理费率,管理费说明,托管费,行政外包服务费,业绩报酬说明,管理规模,登记编号
FOF底层、团队跟踪,宁苑沛华稳定增长一号C类,TG733C,宁苑沛华稳定增长一号私募证券投资基金C类份额,TG733C,上海宁苑资管,,2021-11-29,2021-12-06,中信证券股份有限公司,,每日,可临开赎回,0%,无,新增投资者C类：少于24月，1%，归基金,,,,0.02,,0.03%,,20%,50-100亿元,P1018867
FOF底层、团队跟踪,天戈钻选CTA1号B类,VN917B,天戈钻选CTA1号私募证券投资基金B类份额,VN917B,上海天戈投资,,2022-06-17,2022-07-01,招商证券股份有限公司,,每自然周最后一个工作日,否,0%,1万元起,0%,,,,0.015,,0.015%,0.015%,超过 0%的收益部分提取 20%,5-10亿元,P1008509
FOF底层、团队跟踪,守正用奇龙珠专享1号A类,XR918A,守正用奇龙珠专享1号私募证券投资基金A类份额,XR918A,广州守正用奇,,2022-11-07,2022-11-10,招商证券股份有限公司,,申购开放日为每周二、周四；赎回开放日为每月的第一个周二、每年5月第一个工作日,否,1%,1万元起,持有期小于 3个月，赎回费率为1%；持有期大等于3 个月少于6 个月，赎回费率为0.5%；持有期大等于 6个月，赎回费率为0%,,无,0.75,0.01,,0.01%,0.01%,当基金份额赎回、基金终止或分红时，管理人将提取赎回份额或分红份额当期收益的20%作为业绩报酬。金额支付,20-50亿元,P1021611
团队跟踪,全天候新雨A类,03854A,全天候新雨私募证券投资基金A类份额,03854A,三亚清泉石,,2023-06-13,2023-06-19,中信证券股份有限公司,,,否,,,,,,,0,,,,,0-5亿元,P1074280
团队跟踪,卿云辰星壹期A类,09524A,卿云辰星壹期私募证券投资基金A类份额,09524A,卿云基金,,2023-06-28,2023-07-04,中信证券股份有限公司,,,否,,,,,,,0,,,,,0-5亿元,P1074414
团队跟踪,融昊青松CTA套利一号私募证券投资基金A类份额,09735A,融昊青松CTA套利一号私募证券投资基金A类份额,09735A,上海融昊投资,,2023-05-18,2023-05-23,招商证券股份有限公司,,每个自然月5号、6号、20号和21号,否,,1万元起,,0.88,,0.85,0,,0.005%,0.005%,,10-20亿元,P1007411
团队跟踪,融昊青松CTA套利一号B类,09735B,融昊青松CTA套利一号私募证券投资基金B类份额,09735B,上海融昊投资,,2023-05-18,2023-05-23,招商证券股份有限公司,,每个自然月5号、6号、20号、21号,可临开赎回,0,1万元起,M<1，1%；M≥1，0%，归基金管理人,0.88,,0.85,0.01,,0.005%,0.005%,"单个投资者单份额高水位法
A类：提取比例15%
B类：提取比例20%",10-20亿元,P1007411
团队跟踪,富善投资金选CTA1号B类,09885B,富善投资金选CTA1号私募证券投资基金B类份额,09885B,上海富善投资,,2023-05-23,2023-05-23,招商证券股份有限公司,,每自然月第10个自然日为开放日。如该对应日为非工作日，则开放日为该日后的第一个工作日。,可临开申购,,每次追加申购的最低金额为10万元人民币。,,,成立后180天（已结束）。,,0,,0.025%/年,0.025%/年,,5-10亿元,P1000712
团队跟踪,泓湖稳健宏观对冲私募证券投资基金A类份额,28048A,泓湖稳健宏观对冲私募证券投资基金A类份额,28048A,上海泓湖,,2015-04-16,2015-04-24,中信证券股份有限公司,,每个工作日,否,,,,0.92,无,,0,,0.05%,0.05%,,100亿元以上,P1000395
团队跟踪,泓湖稳健宏观对冲私募证券投资基金B类份额,28048B,泓湖稳健宏观对冲私募证券投资基金B类份额,28048B,上海泓湖,,2015-04-16,2015-04-24,中信证券股份有限公司,,每周五开放申赎,否,0%,,持有期小于90天，赎回费率为0.5%；持有期大等于90天，赎回费率为0%,0.92,无,,0.01,,0.05%,0.05%,单客户高水位法，赎回、分红、清盘收取，计提比例18%,100亿元以上,P1000395
团队跟踪,瑞倍高森5号私募证券投资基金C类份额,83053C,瑞倍高森5号私募证券投资基金C类份额,83053C,宁波瑞倍,,2015-11-23,2015-11-26,招商证券股份有限公司,,每天开放申购，每周一、三、五开放赎回,否,0%,1万元起,持有期小于 90 个自然日，赎回费率 1%；持有期大等于 90个自然日，赎回费率 0%,,无,,0.009,,0.01%,0.01%,18%,10-20亿元,P1010568
团队跟踪,博孚利聚强1号证券投资基金A类份额,84080A,博孚利聚强1号证券投资基金A类份额,84080A,厦门博孚利资管,,2015-12-22,0000-00-00,中信证券股份有限公司,,每周周五、每年12月15日,可临开赎回,1%,不少于 10 万元,持有期小于365天，赎回费率1%；持有期大等于365天，赎回费率0%,0.75,无,0.7,0.01,,0.02%,0.02%,"R<=7%，不收取业绩报酬；R>7%部分，收取15%。
业绩基准日：每年12月15日。",50-100亿元,P1023120
团队跟踪,博孚利聚强1号证券投资基金B类份额,84080B,博孚利聚强1号证券投资基金B类份额,84080B,厦门博孚利资管,,2015-12-22,0000-00-00,中信证券股份有限公司,,每周周五、每年12月15日,可临开赎回,0%,不少于 10 万元,0%,0.75,无,0.7,0,,0.02%,0.02%,不计提业绩报酬。,50-100亿元,P1023120
团队跟踪,华泰资产德林2号资产管理产品,990446,华泰资产德林2号资产管理产品,990446,华泰资管,,2024-07-30,2024-07-30,兴业银行股份有限公司,,,否,,,,,,,0,,,,,,
团队跟踪,倍致新业盈丰B类,AAA68B,倍致新业盈丰私募证券投资基金B类份额,AAA68B,杭州倍致,,2023-08-28,,国泰君安证券股份有限公司,,每个交易日,否,1%,,"持有期小于180天，赎回费率为 2%；持有期大等于180天及但小于360天
，赎回费率为1%；持有期大等于360天，赎回费率为0%",0.75,无,0.7,0.01,,0.02%,0.02%,对超过上次成功计提基准日各类别基金份额累计净值部分按16%的比例进行计提,50-100亿元,P1073143
团队跟踪,和聚世然1期私募证券投资基金C类份额,AAD80C,和聚世然1期私募证券投资基金C类份额,AAD80C,北京和聚,,2023-08-31,2023-09-11,国泰君安证券股份有限公司,,每个交易日,否,,,,,,,0,,0.025%/年,0.025%/年,,10-20亿元,P1000273
团队跟踪,添禄投资添增2000二号私募证券投资基金C类份额,AAK83C,添禄投资添增2000二号私募证券投资基金C类份额,AAK83C,上海添禄投资,,2026-04-30,2026-05-08,中信证券股份有限公司,,每个自然周的前两个工作日,可临开赎回,1%（可免）,,本基金份额持有期低于3个月（不含）的赎回费率为0.5%，基金份额持有期在3个月及以上的赎回费率为0%。 基金赎回费全部归入基金资产且不得减免。,,无,,0.01,,0.01%,0.01%,管理人将根据委托人每笔投资的期间年化收益率（R）超过同期中证2000指数（简称对标指数，代码：932000.CSI）收益率（Rzs）的部分与0%进行比较，当R-Rzs大于0%且R>0%时，按照R超过该期间对标指数收益率部分的比例18%计提业绩报酬，且计提业绩报酬之后该笔份额不得产生亏损。,20-50亿元,P1064139
团队跟踪,沁鸿臻选私募证券投资基金A类份额,AAM49A,沁鸿臻选私募证券投资基金A类份额,AAM49A,海南臻选,,2023-09-05,2023-09-18,中信证券股份有限公司,,,否,,,,,,,0,,,,,5-10亿元,P1072693
