备案号,产品名称,管理人,建议一级,建议二级,建议三级,信心,建议依据,现有团队策略,现有平台策略,同系列已分类产品,是否接受,备注
SATR80,极量晨风一号私募证券投资基金,共青城极量投资管理合伙企业（有限合伙）,套利策略,,,高,团队数据已有团队策略,套利策略,套利策略 / 基金套利 / ETF套利,极量晨风一号=套利策略,,
SBGT82,极量鄱阳私募证券投资基金,共青城极量投资管理合伙企业（有限合伙）,股票对冲,打板,盘前板,高,团队数据已有团队策略,股票对冲 / 打板 / 盘前板,股票多头,极量鄱阳=股票对冲/打板/盘前板,,
SZB075,极量彦廷量化对冲一号私募证券投资基金,共青城极量投资管理合伙企业（有限合伙）,股票对冲,股票市场中性,多策略,高,团队数据已有团队策略；产品名含对冲,股票对冲 / 股票市场中性 / 多策略,股票对冲 / 股票市场中性,极量彦廷量化对冲一号=股票对冲/股票市场中性/多策略,,
STT649,佳期晨星私募证券投资基金五期,上海佳期私募基金管理有限公司,股票多头,,,高,团队数据已有团队策略,股票多头,股票多头 / 量化选股,佳期晨星五期=股票多头,,
SLJ139,佳期证星私募证券投资基金一期,上海佳期私募基金管理有限公司,股票多头,指数增强,"500指增,量价,高频",高,团队数据已有团队策略,"股票多头 / 指数增强 / 500指增,量价,高频","股票多头 / 500指增 / 高频,量价","佳期证星一期=股票多头/指数增强/500指增,量价,高频",,
STV351,佳岳-实投3号私募证券投资基金,海南佳岳私募证券基金管理有限公司,股票多头,主观多头,"价值成长,行业主题型",高,团队数据已有团队策略,"股票多头 / 主观多头 / 价值成长,行业主题型",股票多头 / 主观多头,"佳岳-实投3号=股票多头/主观多头/价值成长,行业主题型；佳岳-实投1号=股票多头/主观多头",,
STN495,佳岳-实投聚配1号私募证券投资基金,海南佳岳私募证券基金管理有限公司,股票多头,主观多头,,高,团队数据已有团队策略,股票多头 / 主观多头,股票多头 / 主观多头,"佳岳-实投聚配1号=股票多头/主观多头；佳岳-实投聚配3号=股票多头/主观多头；佳岳-实投聚配3号A类=股票多头/主观多头/其他,价值成长；佳岳-实投聚配2号A类=股票多头/主观多头；佳岳-实投聚配2号=股票多头/主观多头",,
SVG861,佳岳-实投聚配2号私募证券投资基金,海南佳岳私募证券基金管理有限公司,股票多头,主观多头,,高,团队数据已有团队策略,股票多头 / 主观多头,股票多头 / 主观多头,"佳岳-实投聚配2号=股票多头/主观多头；佳岳-实投聚配3号=股票多头/主观多头；佳岳-实投聚配3号A类=股票多头/主观多头/其他,价值成长；佳岳-实投聚配2号A类=股票多头/主观多头；佳岳-实投聚配1号=股票多头/主观多头",,
SVM978,佳泽守望一号私募证券投资基金,海南佳泽私募基金管理合伙企业（有限合伙）,股票多头,另类多头,,高,团队数据已有团队策略,股票多头 / 另类多头,股票多头 / 另类多头,佳泽守望一号=股票多头/另类多头；佳泽守望一号B类=股票多头/另类多头/衍生品；佳泽守望一号A类=股票多头/另类多头,,
SXL978,嘉策百煅十五号私募证券投资基金,上海嘉策百煅私募基金管理有限公司,股票对冲,股票T0,手工,高,团队数据已有团队策略,股票对冲 / 股票T0 / 手工,,嘉策百煅十五号=股票对冲/股票T0/手工,,
SXE364,嘉策百煅十一号私募证券投资基金,上海嘉策百煅私募基金管理有限公司,股票对冲,股票T0,手工,高,团队数据已有团队策略,股票对冲 / 股票T0 / 手工,,嘉策百煅十一号=股票对冲/股票T0/手工,,
SAKS59,嘉鸿精选6号私募证券投资基金,上海嘉鸿私募基金管理有限公司,股票对冲,打板,,高,团队数据已有团队策略,股票对冲 / 打板,股票对冲 / 择时对冲 / 打板,嘉鸿精选6号=股票对冲/打板；嘉鸿精选6号B类=股票对冲/打板/盘前板；嘉鸿精选6号A类=股票对冲/打板,,
SQP359,嘉鸿鲲鹏对冲二号私募证券投资基金,上海嘉鸿私募基金管理有限公司,期货策略,主观期货,能化,高,团队数据已有团队策略；产品名另指向股票对冲/,期货策略 / 主观期货 / 能化,期货策略 / 主观期货 / 能化,嘉鸿鲲鹏对冲二号=期货策略/主观期货/能化,,
SAEU36,嘉鸿璞真-聚配3号私募证券投资基金,上海嘉鸿私募基金管理有限公司,股票对冲,打板,盘中板,高,团队数据已有团队策略,股票对冲 / 打板 / 盘中板,股票对冲 / 择时对冲,嘉鸿璞真-聚配3号=股票对冲/打板/盘中板；嘉鸿璞真-聚配3号B类=股票对冲,,
SNY759,嘉鸿璞真1号私募证券投资基金,上海嘉鸿私募基金管理有限公司,股票对冲,打板,,高,团队数据已有团队策略,股票对冲 / 打板,股票对冲 / 择时对冲 / 打板,"嘉鸿璞真1号=股票对冲/打板；嘉鸿璞真5号=股票对冲/打板/盘前板,量化,盘中板；嘉鸿璞真1号B类=股票对冲/打板/量化,盘中板；嘉鸿璞真5号B类=股票对冲/打板/盘前板,量化,盘中板；嘉鸿璞真1号A类=股票对冲/打板；嘉鸿璞真6号B类=多资产策略/FOF；嘉鸿璞真6号=多资产策略/FOF",,
SLQ933,嘉兴灏象量化CTA一号私募证券投资基金,上海艾礼象私募基金管理合伙企业（有限合伙）,期货策略,量化期货,中高频,高,团队数据已有团队策略；产品名含量化期货/CTA,期货策略 / 量化期货 / 中高频,期货策略 / 量化期货 / 中高频,嘉兴灏象量化CTA一号=期货策略/量化期货/中高频；嘉兴灏象量化CTA一号A类=期货策略/量化期货/中高频,,
SB3213,嘉懿炽阳私募证券投资基金,上海嘉懿萃私募基金管理有限公司,多资产策略,,,高,团队数据已有团队策略,多资产策略,多资产策略 / 复合策略,嘉懿炽阳=多资产策略,,
SZX144,嘉懿骄阳私募证券投资基金,上海嘉懿萃私募基金管理有限公司,多资产策略,,,高,团队数据已有团队策略,多资产策略,多资产策略 / 复合策略,嘉懿骄阳=多资产策略,,
SXL927,嘉懿瑾瑜私募证券投资基金,上海嘉懿萃私募基金管理有限公司,股票多头,可转债多头,,高,团队数据已有团队策略,股票多头 / 可转债多头,股票多头 / 可转债多头,嘉懿瑾瑜=股票多头/可转债多头；嘉懿瑾瑜A类=股票多头/可转债多头,,
SVQ946,嘉懿日正私募证券投资基金,上海嘉懿萃私募基金管理有限公司,多资产策略,,,高,团队数据已有团队策略,多资产策略,多资产策略 / 复合策略,嘉懿日正=多资产策略,,
SAZY21,简文大有私募证券投资基金,上海简文私募基金管理有限公司,股票对冲,打板,,高,团队数据已有团队策略,股票对冲 / 打板,股票对冲 / 择时对冲 / 打板,简文大有=股票对冲/打板,,
SAFF81,简文长风1号私募证券投资基金,上海简文私募基金管理有限公司,套利策略,期货套利,"跨期套利,跨品种套利",高,团队数据已有团队策略,"套利策略 / 期货套利 / 跨期套利,跨品种套利",套利策略 / 期货套利 / 跨期套利,"简文长风1号=套利策略/期货套利/跨期套利,跨品种套利；简文长风1号B类=股票多头/指数增强/300指增",,
SAVV99,简文致盛尊享一号私募证券投资基金,上海简文私募基金管理有限公司,股票多头,另类多头,高频,高,同系列/份额已有团队策略,,,简文致盛尊享一号B类=股票多头/另类多头/高频,,
SBRA04,江煦红运一号私募证券投资基金,上海江煦投资管理有限公司,股票多头,,,高,团队数据已有团队策略,股票多头,股票多头,江煦红运一号=股票多头,,
SAYS89,江煦精选对冲一号私募证券投资基金,上海江煦投资管理有限公司,股票对冲,股票多空,,高,团队数据已有团队策略；产品名含对冲,股票对冲 / 股票多空,股票对冲 / 股票多空,江煦精选对冲一号=股票对冲/股票多空,,
SBML48,江煦千帆股票精选一号私募证券投资基金,上海江煦投资管理有限公司,股票多头,,,高,团队数据已有团队策略,股票多头,股票多头,江煦千帆股票精选一号=股票多头,,
SBPH97,江煦臻选对冲一号私募证券投资基金,上海江煦投资管理有限公司,股票对冲,,,高,团队数据已有团队策略；产品名含对冲,股票对冲,股票对冲,江煦臻选对冲一号=股票对冲,,
SACA15,交叉智能-启元一号私募证券投资基金,交叉智能（北京）私募基金管理有限公司,期货策略,量化期货,中高频,高,团队数据已有团队策略,期货策略 / 量化期货 / 中高频,期货策略 / 量化期货 / 中高频,交叉智能-启元一号=期货策略/量化期货/中高频,,
SATZ55,交叉智能恒元1号私募证券投资基金,交叉智能（北京）私募基金管理有限公司,套利策略,期货套利,,高,团队数据已有团队策略,套利策略 / 期货套利,套利策略 / 期货套利,交叉智能恒元1号=套利策略/期货套利,,
SAUQ94,阶石稳健2号私募证券投资基金,深圳阶石私募证券基金管理有限公司,套利策略,,,高,团队数据已有团队策略,套利策略,套利策略 / 基金套利 / ETF套利,阶石稳健2号=套利策略；阶石稳健9号=套利策略；阶石稳健7号=股票多头；阶石稳健8号=股票多头；阶石稳健1号=套利策略,,
SAWS84,阶石稳健7号私募证券投资基金,深圳阶石私募证券基金管理有限公司,股票多头,,,高,团队数据已有团队策略,股票多头,股票多头,阶石稳健7号=股票多头；阶石稳健2号=套利策略；阶石稳健9号=套利策略；阶石稳健8号=股票多头；阶石稳健1号=套利策略,,
SALF11,金锝闻广1号私募证券投资基金,上海金锝私募基金管理有限公司,债券策略,债券混合,,高,团队数据已有团队策略,债券策略 / 债券混合,多资产策略 / 复合策略,金锝闻广1号=债券策略/债券混合；金锝闻广2号=股票多头/可转债多头/量化,,
SANV96,金锝暄锦1号私募证券投资基金,上海金锝私募基金管理有限公司,债券策略,利率债,"套利,国债收益互换",高,团队数据已有团队策略,"债券策略 / 利率债 / 套利,国债收益互换",债券策略 / 利率债,"金锝暄锦1号=债券策略/利率债/套利,国债收益互换；金锝暄锦2号=债券策略/利率债",,
STA933,金和和善对冲1号私募证券投资基金,上海金和晟私募基金管理有限公司,套利策略,期货套利,商品套利,高,团队数据已有团队策略；产品名另指向股票对冲/,套利策略 / 期货套利 / 商品套利,,金和和善对冲1号=套利策略/期货套利/商品套利；金和和善对冲5号=套利策略,,
SNQ996,金和全天候1号私募证券投资基金,上海金和晟私募基金管理有限公司,多资产策略,宏观策略,"海外,量化",高,团队数据已有团队策略,"多资产策略 / 宏观策略 / 海外,量化",多资产策略 / 宏观策略,"金和全天候1号=多资产策略/宏观策略/海外,量化",,
SSN885,金瑞凤凰同心1号集合资产管理计划,金瑞期货股份有限公司,期权策略,场内期权,期权套利,高,团队数据已有团队策略,期权策略 / 场内期权 / 期权套利,套利策略 / 期权套利 / 曲面套利,金瑞凤凰同心1号=期权策略/场内期权/期权套利,,
SAZH88,金时信星际风云一号私募证券投资基金,武汉金时信私募基金管理有限公司,股票对冲,打板,盘中板,高,同系列/份额已有团队策略,,,金时信星际风云一号私募证券投资基金B类=股票对冲/打板/盘中板,,
SAPN60,金友宏观对冲1号私募证券投资基金,南京金友私募基金管理有限公司,股票对冲,,,高,团队数据已有团队策略；产品名含对冲,股票对冲,股票对冲,金友宏观对冲1号=股票对冲,,
SBFM35,金友至远1号私募证券投资基金,南京金友私募基金管理有限公司,期货策略,量化期货,"量价,中高频",高,团队数据已有团队策略,"期货策略 / 量化期货 / 量价,中高频","期货策略 / 量化期货 / 中高频,量价","金友至远1号=期货策略/量化期货/量价,中高频；金友至远1号A类=期货策略/量化期货/量价,中高频",,
SGN660,金舆成长臻选私募证券投资基金,上海金舆资产管理有限公司,股票多头,主观多头,"价值均衡,港股",高,团队数据已有团队策略,"股票多头 / 主观多头 / 价值均衡,港股",,"金舆成长臻选=股票多头/主观多头/价值均衡,港股",,
SCU622,金舆稳健增长1号FOF私募证券投资基金,上海金舆资产管理有限公司,多资产策略,FOF,,高,产品名含FOF,,,,,
SLV071,金舆长风价值优选私募证券投资基金,上海金舆资产管理有限公司,股票多头,主观多头,"港股,价值均衡",高,团队数据已有团队策略,"股票多头 / 主观多头 / 港股,价值均衡",,"金舆长风价值优选=股票多头/主观多头/港股,价值均衡",,
SBQL81,锦福源中证500指增1号私募证券投资基金,锦福源（海南）私募基金管理合伙企业（有限合伙）,股票多头,指数增强,500指增,高,团队数据已有团队策略；产品名含500指增,股票多头,股票多头,锦福源中证500指增1号=股票多头,,
SNJ907,进化论稳泰对冲1号私募证券投资基金,海南进化论私募基金管理有限公司,股票对冲,股票市场中性,,高,团队数据已有团队策略；产品名含对冲,股票对冲 / 股票市场中性,股票对冲 / 股票市场中性,进化论稳泰对冲1号=股票对冲/股票市场中性,,
SVD559,京华世家远扬股票精选私募证券投资基金,京华世家私募基金管理（北京）有限公司,股票多头,主观多头,,高,团队数据已有团队策略,股票多头 / 主观多头,股票多头 / 主观多头,京华世家远扬股票精选=股票多头/主观多头,,
SNE134,鲸睿新艺2号私募证券投资基金,上海鲸睿资产管理有限公司,套利策略,,,高,团队数据已有团队策略,套利策略,套利策略 / 基金套利 / ETF套利,鲸睿新艺2号=套利策略；鲸睿新艺4号=股票多头/可转债多头；鲸睿新艺9号=套利策略,,
SNQ601,鲸睿新艺4号私募证券投资基金,上海鲸睿资产管理有限公司,股票多头,可转债多头,,高,团队数据已有团队策略,股票多头 / 可转债多头,股票多头 / 可转债多头,鲸睿新艺4号=股票多头/可转债多头；鲸睿新艺9号=套利策略；鲸睿新艺2号=套利策略,,
SXJ879,鲸睿新艺9号私募证券投资基金,上海鲸睿资产管理有限公司,套利策略,,,高,团队数据已有团队策略,套利策略,套利策略 / 基金套利 / ETF套利,鲸睿新艺9号=套利策略；鲸睿新艺4号=股票多头/可转债多头；鲸睿新艺2号=套利策略,,
SK1242,景上源1号私募证券投资基金,杭州景上源私募基金管理有限公司,期货策略,主观期货,"黑色,产业对冲",高,团队数据已有团队策略,"期货策略 / 主观期货 / 黑色,产业对冲","期货策略 / 主观期货 / 产业对冲,黑色","景上源1号=期货策略/主观期货/黑色,产业对冲",,
SAWM72,景上源和合1号私募证券投资基金,杭州景上源私募基金管理有限公司,期货策略,,,高,团队数据已有团队策略,期货策略,期货策略,景上源和合1号=期货策略,,
SSX423,景上源星辰3号私募证券投资基金,杭州景上源私募基金管理有限公司,期货策略,主观期货,,高,团队数据已有团队策略,期货策略 / 主观期货,期货策略 / 主观期货,景上源星辰3号=期货策略/主观期货；景上源星辰5号=期货策略/主观期货/黑色,,
SAJX69,景上源知守1号私募证券投资基金,杭州景上源私募基金管理有限公司,期货策略,,,高,团队数据已有团队策略,期货策略,期货策略,景上源知守1号=期货策略,,
SER537,景资锐联多元化旗舰一号私募基金,上海锐联景淳投资管理有限公司,多资产策略,,,高,团队数据已有团队策略,多资产策略,多资产策略 / 复合策略,景资锐联多元化旗舰一号=多资产策略；景资锐联多元化旗舰一号B类=多资产策略,,
SEF596,九坤股票多空配置1号私募证券投资基金,九坤投资（北京）有限公司,股票对冲,股票市场中性,,高,团队数据已有团队策略；产品名含多空,股票对冲 / 股票市场中性,股票对冲 / 股票多空,九坤股票多空配置1号=股票对冲/股票市场中性,,
SXD399,九坤千舆中证1000指数增强专享8号私募证券投资基金,九坤投资（北京）有限公司,股票多头,指数增强,1000指增,高,团队数据已有团队策略；产品名含1000指增,股票多头 / 指数增强 / 1000指增,股票多头 / 1000指增,九坤千舆中证1000指数增强专享8号=股票多头/指数增强/1000指增,,
ST9803,九坤日享沪深300指数增强1号私募基金,九坤投资（北京）有限公司,股票多头,指数增强,"300指增,量价,中频",高,团队数据已有团队策略；产品名含300指增,"股票多头 / 指数增强 / 300指增,量价,中频","股票多头 / 300指增 / 中频,量价","九坤日享沪深300指数增强1号=股票多头/指数增强/300指增,量价,中频；九坤日享沪深300指数增强1号A类=股票多头/指数增强/300指增,中频,量价",,
SCP381,九坤日享中证1000指数增强1号私募基金,九坤投资（北京）有限公司,股票多头,指数增强,"1000指增,量价,中频",高,团队数据已有团队策略；产品名含1000指增,"股票多头 / 指数增强 / 1000指增,量价,中频","股票多头 / 1000指增 / 中频,量价","九坤日享中证1000指数增强1号=股票多头/指数增强/1000指增,量价,中频",,
ST9804,九坤日享中证500指数增强1号私募基金,九坤投资（北京）有限公司,股票多头,指数增强,"500指增,量价,中频",高,团队数据已有团队策略；产品名含500指增,"股票多头 / 指数增强 / 500指增,量价,中频","股票多头 / 500指增 / 中频,量价","九坤日享中证500指数增强1号=股票多头/指数增强/500指增,量价,中频",,
SCK972,九鞅禾瑞八号私募证券投资基金,上海九鞅投资管理合伙企业（有限合伙）,股票多头,指数增强,"500指增,基本面",高,团队数据已有团队策略,"股票多头 / 指数增强 / 500指增,基本面",股票多头 / 500指增 / 基本面,"九鞅禾瑞八号=股票多头/指数增强/500指增,基本面",,
SSY826,久期量和CTA1号私募证券投资基金,上海久期量和投资有限公司,期货策略,量化期货,时序,高,团队数据已有团队策略；产品名含CTA,期货策略 / 量化期货 / 时序,期货策略 / 量化期货 / 时序,久期量和CTA1号=期货策略/量化期货/时序,,
SNF511,久熙CTA锐进1期私募证券投资基金,北京久熙资产管理有限公司,期货策略,量化期货,时序,高,团队数据已有团队策略；产品名含CTA,期货策略 / 量化期货 / 时序,期货策略 / 量化期货 / 时序,久熙CTA锐进1期=期货策略/量化期货/时序,,
SBJW02,巨量均衡科技精选一号私募证券投资基金,巨量均衡私募证券基金管理（珠海）有限公司,期货策略,,,高,团队数据已有团队策略,期货策略,期货策略,巨量均衡科技精选一号=期货策略,,
SAEL58,巨量均衡小微沧海九号私募证券投资基金,巨量均衡私募证券基金管理（珠海）有限公司,股票多头,另类多头,择时择股,高,团队数据已有团队策略,股票多头 / 另类多头 / 择时择股,股票多头 / 量化选股,巨量均衡小微沧海九号=股票多头/另类多头/择时择股,,
SAYJ71,钜融六盘山1号私募证券投资基金,中海外钜融资产管理集团有限公司,股票对冲,打板,"量化,盘中板",高,团队数据已有团队策略,"股票对冲 / 打板 / 量化,盘中板",股票多头,"钜融六盘山1号=股票对冲/打板/量化,盘中板；钜融六盘山1号A类=股票对冲/打板/量化,盘中板；钜融六盘山1号B类=股票对冲/打板/盘中板",,
SAUH91,钜融娄山关1号私募证券投资基金,中海外钜融资产管理集团有限公司,股票对冲,打板,"量化,盘中板",高,团队数据已有团队策略,"股票对冲 / 打板 / 量化,盘中板",股票多头,"钜融娄山关1号=股票对冲/打板/量化,盘中板",,
SNF018,钜融添宝20号私募证券投资基金,中海外钜融资产管理集团有限公司,股票对冲,打板,"盘中板,量化,排板",高,团队数据已有团队策略,"股票对冲 / 打板 / 盘中板,量化,排板","股票对冲 / 择时对冲 / 打板,量化","钜融添宝20号=股票对冲/打板/盘中板,量化,排板",,
SSP741,聚宽对冲五号私募证券投资基金,北京聚宽投资管理有限公司,股票对冲,股票市场中性,"500中性,中频",高,团队数据已有团队策略；产品名含对冲,"股票对冲 / 股票市场中性 / 500中性,中频","股票对冲 / 股票市场中性 / 中频,500中性","聚宽对冲五号=股票对冲/股票市场中性/500中性,中频",,
SNN100,聚宽中证1000指数增强一号私募证券投资基金,北京聚宽投资管理有限公司,股票多头,指数增强,"1000指增,中频",高,团队数据已有团队策略；产品名含1000指增,"股票多头 / 指数增强 / 1000指增,中频",股票多头 / 1000指增,"聚宽中证1000指数增强一号=股票多头/指数增强/1000指增,中频",,
SJJ717,聚宽中证500指数增强三号私募证券投资基金,北京聚宽投资管理有限公司,股票多头,指数增强,500指增,高,团队数据已有团队策略；产品名含500指增,股票多头 / 指数增强 / 500指增,股票多头 / 500指增,聚宽中证500指数增强三号=股票多头/指数增强/500指增,,
SQM495,隽贤隽才1号证券投资私募基金,上海隽贤投资管理有限公司,套利策略,期货套利,"跨期套利,商品套利",高,团队数据已有团队策略,"套利策略 / 期货套利 / 跨期套利,商品套利","套利策略 / 期货套利 / 跨期套利,商品套利","隽才1号=套利策略/期货套利/跨期套利,商品套利",,
SBNB10,君和九思君怡1号私募证券投资基金,北京君和九思私募基金管理有限公司,套利策略,,,高,团队数据已有团队策略,套利策略,套利策略,君和九思君怡1号=套利策略,,
SAJK43,君和九思套利4号私募证券投资基金,北京君和九思私募基金管理有限公司,套利策略,期货套利,"跨期套利,跨市场套利",高,团队数据已有团队策略；产品名含套利,"套利策略 / 期货套利 / 跨期套利,跨市场套利","套利策略 / 期货套利 / 跨期套利,商品套利,跨市场套利","君和九思套利4号=套利策略/期货套利/跨期套利,跨市场套利；君和九思套利2号=套利策略",,
SXZ254,君信泓远1号私募证券投资基金,北京东方君信私募基金管理有限公司,期货策略,主观期货,,高,团队数据已有团队策略,期货策略 / 主观期货,期货策略 / 主观期货,君信泓远1号=期货策略/主观期货,,
SABV41,君信汇富一号私募证券投资基金,福建君信私募基金管理有限公司,股票多头,主观多头,交易型,高,团队数据已有团队策略,股票多头 / 主观多头 / 交易型,股票多头 / 主观多头 / 交易型,君信汇富一号=股票多头/主观多头/交易型,,
SEM163,君信荣耀一号私募基金,福建君信私募基金管理有限公司,期权策略,场内期权,金融卖波,高,团队数据已有团队策略,期权策略 / 场内期权 / 金融卖波,"期权策略 / 场内期权 / 金融期权,定价卖波",君信荣耀一号=期权策略/场内期权/金融卖波,,
SQD028,君信王者二号私募证券投资基金,福建君信私募基金管理有限公司,期货策略,量化期货,高频,高,团队数据已有团队策略,期货策略 / 量化期货 / 高频,期货策略 / 量化期货 / 高频,君信王者二号=期货策略/量化期货/高频,,
SQK417,君信王者三号私募证券投资基金,福建君信私募基金管理有限公司,股票多头,指数增强,北证50指增,高,团队数据已有团队策略,股票多头 / 指数增强 / 北证50指增,股票多头 / 风格指增,君信王者三号=股票多头/指数增强/北证50指增,,
SBND12,君信中证1000指增1号私募证券投资基金,北京东方君信私募基金管理有限公司,股票多头,指数增强,1000指增,高,团队数据已有团队策略；产品名含1000指增,股票多头 / 指数增强 / 1000指增,,君信中证1000指增1号=股票多头/指数增强/1000指增,,
SAPH90,君信专享1号私募证券投资基金,北京东方君信私募基金管理有限公司,多资产策略,股票期货复合,,高,团队数据已有团队策略,多资产策略 / 股票期货复合,,君信专享1号=多资产策略/股票期货复合；君信专享2号=期货策略/量化期货/高频；君信专享3号=股票对冲/股票市场中性/多策略,,
SAXX01,君信专享2号私募证券投资基金,北京东方君信私募基金管理有限公司,期货策略,量化期货,高频,高,团队数据已有团队策略,期货策略 / 量化期货 / 高频,,君信专享2号=期货策略/量化期货/高频；君信专享1号=多资产策略/股票期货复合；君信专享3号=股票对冲/股票市场中性/多策略,,
SSB569,君宜共达私募证券投资基金,深圳君宜私募证券基金管理有限公司,期权策略,场内期权,商品波动率,高,团队数据已有团队策略,期权策略 / 场内期权 / 商品波动率,期权策略 / 场内期权 / 定价卖波,君宜共达=期权策略/场内期权/商品波动率,,
SBNR74,君跃飞扬鲲鹏私募证券投资基金,上海君跃私募基金管理有限公司,股票对冲,打板,强势股,高,团队数据已有团队策略,股票对冲 / 打板 / 强势股,股票对冲 / 择时对冲 / 强势股,君跃飞扬鲲鹏=股票对冲/打板/强势股,,
SXG537,均成安益5号私募证券投资基金,广东横琴均成私募基金管理有限公司,期货策略,量化期货,混合,高,团队数据已有团队策略,期货策略 / 量化期货 / 混合,,均成安益5号=期货策略/量化期货/混合,,
SNC604,均成宏观对冲1号私募证券投资基金,广东横琴均成私募基金管理有限公司,多资产策略,股票期货复合,,高,团队数据已有团队策略；产品名另指向股票对冲/,多资产策略 / 股票期货复合,多资产策略 / 复合策略,均成宏观对冲1号=多资产策略/股票期货复合,,
SAFG53,均成均享1号私募证券投资基金,广东横琴均成私募基金管理有限公司,期货策略,,,高,团队数据已有团队策略,期货策略,期货策略,均成均享1号=期货策略；均成均享1号B类=多资产策略/股票期货复合,,
SNV353,均泰泰山一号私募证券投资基金,海南均泰基金管理有限公司,股票对冲,打板,盘中板,高,团队数据已有团队策略,股票对冲 / 打板 / 盘中板,股票对冲 / 择时对冲 / 打板,均泰泰山一号=股票对冲/打板/盘中板,,
SABJ63,俊丹龙盘一号私募证券投资基金,上海俊丹私募基金管理有限公司,股票对冲,,,高,团队数据已有团队策略,股票对冲,股票对冲,俊丹龙盘一号=股票对冲,,
SBAK10,俊丹鹰击一号私募证券投资基金,上海俊丹私募基金管理有限公司,股票对冲,打板,"盘中板,主观",高,团队数据已有团队策略,"股票对冲 / 打板 / 盘中板,主观",股票对冲 / 择时对冲 / 打板,"俊丹鹰击一号=股票对冲/打板/盘中板,主观；俊丹鹰击一号A类=股票对冲/打板/主观,盘中板,排板",,
SZN148,开思金选港股通1号私募证券投资基金,上海开思私募基金管理有限公司,股票多头,主观多头,港股,高,团队数据已有团队策略,股票多头 / 主观多头 / 港股,股票多头 / 主观多头 / 港股,开思金选港股通1号=股票多头/主观多头/港股,,
SXA895,凯读投资君怡3号私募证券投资基金,北京凯读私募基金管理有限公司,股票对冲,股票市场中性,,高,团队数据已有团队策略,股票对冲 / 股票市场中性,股票对冲 / 股票市场中性,凯读投资君怡3号=股票对冲/股票市场中性；凯读投资君怡3号A类=股票对冲/股票市场中性,,
SQV367,凯普乐飒露紫1号私募证券投资基金,成都凯普乐资产管理有限公司,期货策略,主观期货,,高,团队数据已有团队策略,期货策略 / 主观期货,期货策略 / 主观期货,凯普乐飒露紫1号=期货策略/主观期货,,
SVZ904,凯瑞2号臻选私募证券投资基金,臻选（海南）私募基金管理有限公司,多资产策略,FOF,,高,团队数据已有团队策略,多资产策略 / FOF,组合策略 / FOF,凯瑞2号臻选=多资产策略/FOF,,
SAUM14,凯什黎明忆创1号私募证券投资基金,海南省凯什私募基金管理有限公司,股票多头,,,高,团队数据已有团队策略,股票多头,股票多头,凯什黎明忆创1号=股票多头,,
SZM566,凯双贡嘎17号私募证券投资基金,上海凯双私募基金管理有限公司,期权策略,场内期权,,高,团队数据已有团队策略,期权策略 / 场内期权,"期权策略 / 场内期权 / 金融期权,期权多策略",凯双贡嘎17号=期权策略/场内期权,,
STB484,楷双昆仑9号私募证券投资基金,上海凯双私募基金管理有限公司,期权策略,场内期权,,高,团队数据已有团队策略,期权策略 / 场内期权,期权策略 / 场内期权 / 金融期权,楷双昆仑9号=期权策略/场内期权,,
SQN183,锴量承影三号私募证券投资基金,上海锴量投资管理有限公司,期货策略,量化期货,,高,团队数据已有团队策略,期货策略 / 量化期货,期货策略 / 量化期货,锴量承影三号=期货策略/量化期货,,
SZR691,瞰点瞰海1号私募证券投资基金,海南瞰点私募基金管理合伙企业（有限合伙）,股票对冲,股票市场中性,"500中性,量价,高频",高,团队数据已有团队策略,"股票对冲 / 股票市场中性 / 500中性,量价,高频","股票对冲 / 股票市场中性 / 高频,量价,500中性","瞰点瞰海1号=股票对冲/股票市场中性/500中性,量价,高频",,
SAJF57,垦禾平稳1号私募证券投资基金,垦禾私募基金管理（北京）有限公司,套利策略,可转债套利,,高,团队数据已有团队策略,套利策略 / 可转债套利,股票多头 / 可转债多头,兴途垦禾平稳1号=套利策略/可转债套利,,
SJF555,宽德金选中证500指数增强6号私募证券投资基金,上海宽德私募基金管理中心（有限合伙）,股票多头,指数增强,"500指增,量价,中频",高,团队数据已有团队策略；产品名含500指增,"股票多头 / 指数增强 / 500指增,量价,中频","股票多头 / 500指增 / 中频,量价","宽德金选中证500指数增强6号=股票多头/指数增强/500指增,量价,中频",,
STD264,宽德中证1000指数增强2号私募证券投资基金,上海宽德私募基金管理中心（有限合伙）,股票多头,指数增强,"1000指增,量价,机器学习,中频",高,团队数据已有团队策略；产品名含1000指增,"股票多头 / 指数增强 / 1000指增,量价,机器学习,中频",股票多头 / 1000指增,"宽德中证1000指数增强2号=股票多头/指数增强/1000指增,量价,机器学习,中频",,
SQA834,宽德卓越6号私募证券投资基金,珠海宽德私募基金管理有限公司,期货策略,量化期货,"大厂,混合,中高频",高,团队数据已有团队策略,"期货策略 / 量化期货 / 大厂,混合,中高频","期货策略 / 量化期货 / 混合均衡,中高频","宽德卓越6号=期货策略/量化期货/大厂,混合,中高频",,
SAGB28,宽渡安如1号私募证券投资基金,上海宽渡私募基金管理有限公司,股票多头,,,高,团队数据已有团队策略,股票多头,股票多头,宽渡安如1号=股票多头,,
