备案号,产品名称,管理人,建议一级,建议二级,建议三级,信心,建议依据,现有团队策略,现有平台策略,同系列已分类产品,是否接受,备注
SABU71,博孚利泓帆1号FOF私募证券投资基金,厦门博孚利资产管理有限公司,多资产策略,FOF,,高,团队数据已有团队策略；产品名含FOF,多资产策略 / FOF,组合策略 / FOF,博孚利泓帆1号FOF=多资产策略/FOF,,
SXP387,博孚利华恩1号私募证券投资基金,厦门博孚利资产管理有限公司,多资产策略,FOF,,高,团队数据已有团队策略,多资产策略 / FOF,组合策略 / FOF,博孚利华恩1号=多资产策略/FOF,,
SGN494,博孚利嘉兴5号私募证券投资基金,厦门博孚利资产管理有限公司,期货策略,主观期货,黑色,高,团队数据已有团队策略,期货策略 / 主观期货 / 黑色,"期货策略 / 主观期货 / 黑色,农产",博孚利嘉兴5号=期货策略/主观期货/黑色,,
SB1695,博孚利嘉兴二号私募证券投资基金,厦门博孚利资产管理有限公司,期货策略,量化期货,股指,高,团队数据已有团队策略,期货策略 / 量化期货 / 股指,期货策略 / 量化期货 / 股指,博孚利多策略三十七号=期货策略/量化期货/股指,,
SXN690,博孚利嘉兴一号私募证券投资基金,厦门博孚利资产管理有限公司,期货策略,主观期货,"黑色,农产",高,团队数据已有团队策略,"期货策略 / 主观期货 / 黑色,农产","期货策略 / 主观期货 / 黑色,农产","博孚利嘉兴一号=期货策略/主观期货/黑色,农产；博孚利嘉兴一号B类=期货策略/主观期货/交易型；博孚利嘉兴一号A类=期货策略/主观期货/交易型",,
S84080,博孚利聚强1号证券投资基金,厦门博孚利资产管理有限公司,多资产策略,FOF,,高,团队数据已有团队策略,多资产策略 / FOF,组合策略 / FOF,博孚利聚强1号=多资产策略/FOF；博孚利聚强1号A类=多资产策略/FOF；博孚利聚强1号B类=多资产策略/FOF,,
SGB353,博孚利凯瑞3号FOF私募证券投资基金,厦门博孚利资产管理有限公司,多资产策略,FOF,,高,团队数据已有团队策略；产品名含FOF,多资产策略 / FOF,组合策略 / FOF,博孚利凯瑞3号FOF=多资产策略/FOF,,
SGE910,博孚利凯玺1号私募证券投资基金,厦门博孚利资产管理有限公司,多资产策略,FOF,,高,团队数据已有团队策略,多资产策略 / FOF,组合策略 / FOF,博孚利凯玺1号=多资产策略/FOF,,
SVS847,博孚利可颂一号FOF私募证券投资基金,厦门博孚利资产管理有限公司,多资产策略,FOF,,高,团队数据已有团队策略；产品名含FOF,多资产策略 / FOF,组合策略 / FOF,博孚利可颂一号FOF=多资产策略/FOF,,
SZJ455,博孚利砺青私募证券投资基金,厦门博孚利资产管理有限公司,期货策略,主观期货,多板块,高,团队数据已有团队策略,期货策略 / 主观期货 / 多板块,组合策略 / FOF,博孚利砺青=期货策略/主观期货/多板块；博孚利砺青B类=期货策略/主观期货/多板块；博孚利砺青A类=期货策略/主观期货/多板块,,
STJ782,博孚利量化掘金1号私募证券投资基金,厦门博孚利资产管理有限公司,多资产策略,FOF,,高,团队数据已有团队策略,多资产策略 / FOF,组合策略 / FOF,博孚利量化掘金1号=多资产策略/FOF；博孚利量化掘金1号A类=多资产策略/FOF；博孚利量化掘金1号B类=多资产策略/FOF,,
